"rs" "chr" "pos" "hapflk_v1.4_ALL" "hapflk_v1.4_ALL_scaled" "hapflk_v1.4_ALL_log_pvalue" "hapflk_v1.4_PRUNED" "hapflk_v1.4_PRUNED_scaled" "hapflk_v1.4_PRUNED_log_pvalue" "hapflk_v1.4_PRUNED_KIN" "hapflk_v1.4_PRUNED_KIN_scaled" "hapflk_v1.4_PRUNED_KIN_log_pvalue"
1 1 24 28.5898231036 508.748542425 0.119780994226115 NA NA NA 33.6250076191 531.750910614 0.305489180562039
2 1 133 28.5985182352 508.895227238 0.120609090703944 NA NA NA 33.6254947245 531.7578568 0.3055637478938
3 1 146 28.6005213272 508.929018925 0.120800441134607 NA NA NA 33.6259035533 531.763686753 0.305626341688954
4 1 175 28.6014685993 508.944999182 0.120891007733074 33.9734898737 514.581274786 0.15597230858995 33.6258317652 531.762663045 0.305615349950886
5 1 479 28.6050081833 509.004711126 0.121229851880679 33.9825608511 514.706937515 0.156827870847313 33.625566537 531.758880856 0.305574742151043
6 1 487 28.6102003107 509.092301085 0.121728129129309 NA NA NA 33.6258785658 531.763330428 0.305622515731726
7 1 630 28.6135245469 509.148380163 0.122047921104894 33.9872490237 514.771884051 0.15727134302536 33.6288282425 531.805393204 0.306074372105325
8 1 655 28.6201353291 509.259902494 0.122685673209859 NA NA NA 33.6241789389 531.739093525 0.305362351524826
9 1 709 28.6439606859 509.661830626 0.125004009662102 34.0111740137 515.103323475 0.159548223059639 33.6264933002 531.772096621 0.305716649790559
10 1 712 28.6481527391 509.732549571 0.125415147359221 NA NA NA 33.6266964661 531.774993793 0.305747764686758
11 1 915 28.6745734115 510.17826006 0.128028707951408 34.0465069655 515.592800512 0.16295290991468 33.6179995425 531.650974521 0.304417688466093
12 1 1121 28.6850202302 510.354495419 0.129072795498293 NA NA NA 33.6396230752 531.959328937 0.307731753914544
13 1 1187 28.695482514 510.530991671 0.130124518713698 NA NA NA 33.6676827298 532.359463296 0.312067393125467
14 1 1490 28.7151864435 510.863392298 0.132121866966813 34.0524140291 515.674632678 0.163527037778879 33.6713435001 532.411666361 0.312635971254312
