"rs" "chr" "pos" "hapflk_v1.4_ALL" "hapflk_v1.4_ALL_scaled" "hapflk_v1.4_ALL_log_pvalue" "hapflk_v1.4_PRUNED" "hapflk_v1.4_PRUNED_scaled" "hapflk_v1.4_PRUNED_log_pvalue" "hapflk_v1.4_PRUNED_KIN" "hapflk_v1.4_PRUNED_KIN_scaled" "hapflk_v1.4_PRUNED_KIN_log_pvalue"
1 1 49 27.8514744176 519.622313043 0.192931091846721 28.2623678308 498.034588775 0.0697136760742731 28.4075724775 520.730355868 0.201798189870255
2 1 220 27.8540777882 519.655860394 0.193195542444461 28.2625855492 498.039451465 0.0697320584939672 28.4168746117 520.853996262 0.202804644022154
3 1 255 27.8558889343 519.679199043 0.19337966597945 28.2627831684 498.043865246 0.0697487470594428 28.4191950587 520.884838752 0.203056242309548
4 1 270 27.8569531306 519.692912407 0.193487909946099 28.2629924055 498.04853851 0.0697664200100513 28.4213525199 520.913514897 0.203290360399727
5 1 319 27.857841778 519.704363626 0.193578330040037 NA NA NA 28.4228874034 520.933915979 0.203457031681702
6 1 572 27.9522651053 520.921114138 0.203352433194787 28.2632251168 498.053736063 0.0697860796285446 28.4684036341 521.538900229 0.208442219642873
7 1 591 27.977712547 521.249032975 0.206043352438606 28.2634812997 498.05945785 0.0698077269696277 28.4768101561 521.650636489 0.209371995627486
8 1 762 27.9859948478 521.355759713 0.206924387231177 28.2638061954 498.066714324 0.0698351877822602 28.4879167079 521.798260508 0.210604738454386
9 1 771 28.0064696156 521.619600069 0.209113452771482 NA NA NA 28.5276808917 522.326790761 0.215058869978971
10 1 818 28.0349715215 521.986879104 0.212187007195386 28.2641140886 498.073591048 0.0698612190013072 28.5459717289 522.569905541 0.217129079203331
11 1 942 28.0530917673 522.220378802 0.214156980296228 28.2646026134 498.08450214 0.069902536932718 28.5562293818 522.706246322 0.218295985766372
12 1 969 28.0828937916 522.604411322 0.217424003331086 28.265605361 498.106898283 0.0699874038366512 28.5478003261 522.594210552 0.2173367880321
13 1 1053 28.1154951227 523.024516052 0.221036561437442 28.2667175621 498.131739043 0.0700816248882043 28.5497767407 522.620480295 0.217561439332242
14 1 1306 28.1582700262 523.575718675 0.225838009445773 28.2680553796 498.161618895 0.0701950855776362 28.5733624025 522.933971851 0.220254531747318
15 1 1389 28.1755539581 523.798441529 0.227798013362866 28.2692856365 498.189096405 0.070299545893494 28.5983275684 523.265799243 0.223129728699641
16 1 1452 28.1829674988 523.893973319 0.228642230937669 NA NA NA 28.6138208569 523.471730081 0.224926817247082
17 1 1616 28.1526207192 523.502921016 0.225199863233638 28.2699737635 498.204465567 0.0703580252653714 28.6306527137 523.695452654 0.226890264938019
18 1 1655 28.2362627717 524.580742706 0.234773629869177 NA NA NA 28.6666366214 524.173736929 0.231126688800104
19 1 1731 28.2546494924 524.817676232 0.236914445416376 NA NA NA 28.6781107506 524.326246646 0.232488720027643
20 1 1735 28.3054112815 525.471798838 0.242893027298524 28.2712203538 498.232307879 0.0704640578752201 28.6883147971 524.461874911 0.233704535257324
21 1 1749 28.3295941332 525.783422014 0.245776586768292 NA NA NA 28.7286831093 524.998435007 0.238556521151561
22 1 1884 28.2959261598 525.349572403 0.241768265434297 NA NA NA 28.7087364021 524.733311039 0.236150659054041
23 1 1939 28.2950838963 525.338718893 0.241668558199554 28.2761978639 498.343479445 0.0708886332833401 28.7116611473 524.772185628 0.236502397011068
24 1 1946 28.1053240742 522.89345068 0.219905160541386 NA NA NA 28.7270981646 524.977368531 0.238364752106125
25 1 1976 28.0915152625 522.715508647 0.218375414111173 28.2848572801 498.536885555 0.0716318480762159 28.7209748754 524.895980124 0.237624846319606
26 1 2211 27.8288444733 519.330700821 0.19064283739436 28.2847430226 498.534333639 0.071622003720827 28.4657861802 521.504110036 0.208153301746583
27 1 2268 27.7032013111 517.711647707 0.178278177575825 NA NA NA 28.3844495767 520.423015154 0.199311234167864
28 1 2310 27.689983263 517.541318327 0.17701059249747 28.2858746758 498.559608859 0.0717195510404244 28.4015776051 520.650674328 0.20115138628876
29 1 2470 27.661051407 517.168498902 0.174257960147929 NA NA NA 28.5062661991 522.042154895 0.212652232610545
30 1 2649 27.4129816703 513.971842018 0.151869563755499 NA NA NA 28.4888929578 521.811236447 0.210713331156249
31 1 2659 27.177737794 510.940460735 0.132588067757452 NA NA NA 28.3964121797 520.582017478 0.200595215735317
32 1 2703 27.4227798518 514.098102579 0.152713241857358 28.2922428967 498.701841637 0.0722703460397462 28.348854161 519.949894566 0.195524074255447
33 1 2705 27.4258794014 514.138043754 0.152980816359132 NA NA NA 28.3532437794 520.008239688 0.195988408927281
34 1 2750 27.3436725405 513.078716117 0.145995280867279 NA NA NA 28.2624059628 518.800858331 0.186533237956897
35 1 2814 27.3478230185 513.132199683 0.14634245702164 28.2930514347 498.719900151 0.0723405038783017 28.1589263837 517.425447525 0.176151872579393
36 1 2897 27.3994856055 513.797930081 0.150712863352488 NA NA NA 28.1494709441 517.299769455 0.175223748400482
37 1 2902 27.3991066587 513.793046926 0.150680475101161 28.2941932167 498.745401595 0.0724396647304439 28.1248816832 516.972938447 0.172826053140891
38 1 2904 27.4087600585 513.917441813 0.151507073980177 NA NA NA 28.1319915761 517.067440412 0.173516976394126
39 1 3223 27.4381952995 514.296747919 0.154047272291886 28.2946008212 498.754505348 0.0724750888242829 28.1190541747 516.895481444 0.172261179242221
40 1 3336 27.421799751 514.085472881 0.152628701445179 NA NA NA 28.2993878389 519.292407219 0.19034374763831
41 1 3359 27.3840181052 513.598613985 0.149394855516061 28.2997989346 498.87060404 0.0729279869575422 28.3098989908 519.432117411 0.191436510534211
42 1 3409 27.3708097102 513.428408997 0.148275806920026 28.3035523799 498.954436395 0.073256331961285 28.3128455123 519.471281443 0.191743611825089
43 1 3517 27.3415262826 513.051059177 0.145815980973436 NA NA NA 28.3903371694 520.501270774 0.199942459749976
44 1 3753 27.1866217715 511.054940752 0.133282743068845 NA NA NA 28.2833532711 519.079281904 0.188685057308585
45 1 3783 27.0979828766 509.912729141 0.126467036055268 28.3175597983 499.267288927 0.0744914669915886 28.1735235352 517.619467254 0.177591394296944
46 1 3898 27.0100306295 508.779365758 0.119954663954725 28.3248710557 499.430584212 0.0751423126215394 28.2129353381 518.143313796 0.181518806215905
47 1 3990 26.8459888301 506.665503122 0.108459320721175 28.3658376866 500.345564679 0.0788681169817514 28.156948126 517.399153285 0.175957409391509
48 1 4042 26.6637798764 504.317536321 0.0966529925864711 28.3713442909 500.468553444 0.0793792362273994 28.1447628417 517.237191168 0.174762882227451
49 1 4185 26.4678800152 501.793146816 0.0850415021846324 NA NA NA 28.0929137855 516.548033434 0.169743147912703
50 1 4194 26.4766187678 501.905755447 0.0855363129351201 28.3731898383 500.50977333 0.0795510895498996 28.0962619581 516.592536057 0.170064225979165
51 1 4252 26.4440621768 501.486227245 0.0837036440215436 28.3882073181 500.845185355 0.0809598024800455 28.1006114985 516.650348478 0.170481963802476
52 1 4262 26.3170644212 499.849718676 0.0768323237192212 28.3908749881 500.904767163 0.0812119712278093 28.0190424874 515.566164522 0.162766338792029
53 1 4403 26.3184287405 499.867299461 0.076903827017996 28.3963176094 501.026326882 0.0817282605791057 28.0397350039 515.841201502 0.164700041886866
54 1 4476 26.1409150137 497.579835926 0.0680106333278451 NA NA NA 28.056479381 516.063761328 0.166276510653956
55 1 4496 25.9255730524 494.804913148 0.0582896889866764 NA NA NA 27.9925877772 515.214538679 0.160317389245395
56 1 4709 26.1890225121 498.199755019 0.0703400978332752 28.3991563357 501.089729194 0.0819985094162129 28.0292473564 515.70180372 0.163717980282332
57 1 5135 26.3092162294 499.748585919 0.0764219678426439 28.4039444557 501.196670775 0.0824558457650161 27.9939991707 515.233298379 0.160447387452501
58 1 5198 26.7800396268 505.815673645 0.104071246004991 NA NA NA 28.5618989672 522.781604273 0.218942782695102
59 1 5256 26.8555339337 506.788502492 0.109105382883101 NA NA NA 28.7743245974 525.60508413 0.244123562840175
60 1 5319 27.0464699393 509.248927148 0.122622803540994 28.4078802407 501.284575647 0.0828331879931204 28.9426100741 527.841870027 0.265402750893565
61 1 5321 27.0558660306 509.370006327 0.123317659082248 NA NA NA 28.9436761691 527.856040152 0.265541362686704
62 1 5348 27.0399016472 509.164287336 0.12213874189666 NA NA NA 28.8362118094 526.427665173 0.251810727775589
63 1 5386 27.0012899331 508.666732078 0.119320923432874 NA NA NA 28.8086325781 526.061092628 0.248365275612764
64 1 5603 27.3101559721 512.646817528 0.143213035770182 NA NA NA 28.7432897666 525.192581083 0.240328738380931
65 1 5639 27.3316721827 512.924078043 0.144994761792726 28.4131824332 501.402998922 0.0833435592900714 28.8612598624 526.76059427 0.254967595522719
66 1 5697 27.4708700022 514.717798123 0.156901968705535 NA NA NA 28.9494454167 527.932722774 0.266292307185839
67 1 5724 27.550592066 515.745106362 0.16402260880208 NA NA NA 29.1534460947 530.644221403 0.293761062364847
68 1 5810 27.5419382467 515.633592191 0.163238924352822 NA NA NA 29.0606036056 529.41019471 0.281038126234834
69 1 5827 27.4954272314 515.034245574 0.159071784614492 NA NA NA 29.050453362 529.275281573 0.279669691889944
70 1 6046 27.5772388601 516.088480199 0.166452251197493 28.4233014788 501.629005522 0.0843240561810367 29.0001724521 528.606967038 0.272956072804897
71 1 6101 27.4550904555 514.51446096 0.155518751914558 NA NA NA 28.8754234702 526.948851503 0.256764342619895
72 1 6237 27.4269452252 514.151778089 0.153072901863427 28.422996092 501.622184777 0.0842943407884416 28.8597104299 526.739999809 0.25477155195737
73 1 6246 27.3927963964 513.711732117 0.150141863814718 NA NA NA 28.8262456014 526.295198165 0.250561982364265
74 1 6475 27.3805824616 513.554341862 0.14910320732193 28.4202703205 501.561305286 0.0840294558097571 28.9631269904 528.114572995 0.268078799830129
75 1 6480 27.4277507252 514.16215786 0.153142521690592 28.4097307596 501.32590657 0.0830110484179927 28.9781152104 528.313790657 0.270045050120488
76 1 6558 27.6796704388 517.408426017 0.176025970300708 28.4121219868 501.37931409 0.0832412980537616 29.0325292838 529.037041612 0.277264006782779
77 1 6596 27.6883758199 517.520604619 0.176856869957576 NA NA NA 29.0744141852 529.593759629 0.28290715267767
78 1 6634 27.6297680381 516.765377594 0.171315261368411 28.4075602348 501.277428386 0.0828024597183458 28.9475366656 527.907352387 0.266043701321323
79 1 6650 27.583563734 516.169983296 0.167032622491186 28.4138532813 501.417982163 0.0834082988099478 28.9249821842 527.607566887 0.263117792752533
80 1 6692 27.5388762326 515.594134703 0.162962259160403 NA NA NA 28.9689454459 528.19190967 0.268840966235204
