"rs" "chr" "pos" "hapflk_v1.4_ALL" "hapflk_v1.4_ALL_scaled" "hapflk_v1.4_ALL_log_pvalue" "hapflk_v1.4_PRUNED" "hapflk_v1.4_PRUNED_scaled" "hapflk_v1.4_PRUNED_log_pvalue" "hapflk_v1.4_PRUNED_KIN" "hapflk_v1.4_PRUNED_KIN_scaled" "hapflk_v1.4_PRUNED_KIN_log_pvalue"
1 1 2 29.7521325714 530.518444265 0.292447226504704 33.0492821359 532.946046189 0.318495292489263 30.8634780686 523.46909 0.224903716241267
2 1 12 29.7529386438 530.529482792 0.292562376677875 NA NA NA 30.8699237997 523.559362724 0.225694526104064
3 1 77 29.766671489 530.717543306 0.294528756947093 33.0496365813 532.951833841 0.318559142297185 30.8792108411 523.689428112 0.226837240371542
4 1 142 29.7714757381 530.783333719 0.295218720020524 33.0500315353 532.95828295 0.318630299195404 30.8981829953 523.955133897 0.229183819721047
5 1 316 29.7791092433 530.88786857 0.296317196461988 33.0503738767 532.963872959 0.318691985536903 30.9078667102 524.090754714 0.230387864429605
6 1 572 29.8162887202 531.397012266 0.301705879112181 33.0507579804 532.970144893 0.31876120629143 30.9160316894 524.205105578 0.231406393466228
7 1 598 29.8235790481 531.496847573 0.302770018682227 33.051109651 532.975887237 0.318824590785818 30.9234506203 524.309008004 0.232334494163895
8 1 621 29.8251033814 531.517722119 0.302992830795438 33.0517309442 532.986032182 0.318936591702622 30.9256305081 524.33953742 0.2326076734348
9 1 794 29.8316288575 531.607083382 0.303947878821336 33.0522282467 532.994152514 0.319026259266077 30.9263418843 524.349500273 0.232696868674704
10 1 1062 29.8345163258 531.646624989 0.304371109908011 NA NA NA 30.9255775682 524.338795995 0.23260103653853
11 1 1099 29.8371533377 531.682736794 0.304757968342902 NA NA NA 30.9308597416 524.412773046 0.233263875518675
12 1 1182 29.8791579922 532.257957502 0.310963766315372 NA NA NA 30.9388228642 524.524296899 0.234265546495753
13 1 1457 29.8850697796 532.338914781 0.311843771568729 33.0526662703 533.001304896 0.319105252033284 30.9474869187 524.645637332 0.235358682076628
14 1 1519 29.8922515139 532.437262984 0.312915008727499 33.0545932781 533.032770536 0.319452918536204 30.944406758 524.602499558 0.234969667450171
15 1 1646 29.8954140237 532.480571069 0.313387496152668 NA NA NA 30.9452036262 524.613659729 0.235070267745286
