"rs" "chr" "pos" "hapflk_v1.4_ALL" "hapflk_v1.4_ALL_scaled" "hapflk_v1.4_ALL_log_pvalue" "hapflk_v1.4_PRUNED" "hapflk_v1.4_PRUNED_scaled" "hapflk_v1.4_PRUNED_log_pvalue" "hapflk_v1.4_PRUNED_KIN" "hapflk_v1.4_PRUNED_KIN_scaled" "hapflk_v1.4_PRUNED_KIN_log_pvalue"
1 1 14 32.0379483071 546.326774761 0.489062666386533 26.7891065345 483.026533063 0.0282935018086006 28.1145027019 527.145881195 0.258653865025734
2 1 18 32.0383357428 546.33177518 0.489135190600681 26.791565059 483.087482372 0.0284081145416026 28.1454963658 527.647190239 0.263503279924563
3 1 228 32.0387591645 546.33724005 0.489214458694504 NA NA NA 28.1725615071 528.084957137 0.26778731179009
4 1 231 32.0391722757 546.342571848 0.489291804266655 26.7921926577 483.103041179 0.0284374315149437 28.2371678572 529.129936771 0.278200398685441
5 1 407 32.0418580268 546.377235355 0.489794834989654 26.7930780435 483.124990789 0.0284788315162888 28.2418706064 529.206001695 0.278968700289544
6 1 423 32.0428256494 546.389723926 0.489976145746636 NA NA NA 28.2598635273 529.497029371 0.281921239208483
7 1 486 32.0432278428 546.394914814 0.490051520040294 NA NA NA 28.2681331705 529.630787256 0.283285156386729
8 1 518 32.0435971453 546.399681198 0.49012073667462 NA NA NA 28.279847258 529.820257531 0.285224632530542
9 1 625 32.0426263068 546.387151121 0.489938790003966 26.7955518582 483.186319159 0.0285947601599782 28.2811038206 529.840581884 0.285433199060662
10 1 698 32.0435682508 546.399308272 0.490115320883346 26.7973323117 483.230458403 0.0286784289584869 28.2907302272 529.996284828 0.287034354332527
11 1 789 32.0445507303 546.411988594 0.490299490741609 26.8035332846 483.384186798 0.028971355967878 28.293805721 530.046029604 0.287547148346539
12 1 865 32.0721854224 546.768654313 0.495497367556454 26.8043293431 483.403921893 0.0290091329334816 28.3330436917 530.680686726 0.294142696272582
13 1 893 32.0721131863 546.767722002 0.495483736076253 26.8047946623 483.415457629 0.029031232835695 28.3456283098 530.884237455 0.296278994797827
14 1 896 32.0766696575 546.826529861 0.496344032571889 NA NA NA 28.3601177637 531.118598074 0.298751276456615
15 1 930 32.0597054892 546.607582702 0.493145766736859 26.8062202233 483.450798728 0.0290990220322696 28.3542868792 531.024286052 0.297754747690138
16 1 973 32.0656158734 546.68386477 0.49425859716362 26.8087902795 483.514513022 0.0292215535672074 28.3606096248 531.126553715 0.29883543836921
