"position_index" "position" "RDAvegan_v2.5.2_ALL_loading_RDA1_envi" "RDAvegan_v2.5.2_ALL_loading_PCA1_envi" "RDAvegan_v2.5.2_ALL_loading_PCA2_envi" "RDAvegan_v2.5.2_ALL_loading_PCA3_envi" "RDAvegan_v2.5.2_PRUNED_loading_RDA1_envi" "RDAvegan_v2.5.2_PRUNED_loading_PCA1_envi" "RDAvegan_v2.5.2_PRUNED_loading_PCA2_envi" "RDAvegan_v2.5.2_PRUNED_loading_PCA3_envi"
1 9 0.0174560337375033 -0.00820366166507271 -0.00577395003017944 0.0238221325176447 0.0209672099298573 0.0706017617678513 -0.101809003156624 -0.085579185131382
2 15 0.0057811317525884 0.0209051299486914 -0.012398614322444 -0.0150567056160516 0.00694397163247126 -0.0499044899865839 0.0507828292873773 0.00101062774947745
3 178 0.0325281628072847 0.030409977353111 0.0243097297413597 0.00399311650455257 0.0390710071067072 -0.00394961597121692 -0.042634581492493 0.0166277035861249
4 269 0.0261591143271956 0.00272966124422141 0.00593893352292719 0.0407115072919942 NA NA NA NA
5 293 0.0119454586669598 -0.00666130290275603 0.0045713973728095 -0.00711488571748938 0.0143482158286892 -0.0534523394107685 0.0577160157246513 0.0704101764035807
6 308 -0.0318815744142766 -0.0227904597816132 -0.0377668350173441 0.0227111587402644 NA NA NA NA
7 327 0.000765760149828937 -0.0412333908533385 0.00269806441683357 0.013341139089743 0.000919788198099498 0.0183785650798153 0.033382387508385 0.00153483947296877
8 351 -0.00503649465276772 0.0359496508159758 0.0538255655994348 -0.0333002980805928 -0.006049555258839 -0.0159782172337688 -0.0610676099837342 0.0561935755726683
9 475 0.0383286305860249 0.0724526768112927 0.0253140025742884 -0.0159595438618337 NA NA NA NA
10 504 -0.0152927370266429 0.0253471211871766 0.0403640659805092 0.000437250882624934 -0.0183687790973291 0.00567071438621364 -0.0144274739387931 0.0165114426141247
11 539 0.00206584351450009 0.00481620410895 0.00488997664489873 0.0291548680516949 NA NA NA NA
12 665 0.0774778615293461 -0.0467890622055182 -0.00648677461395924 0.0471574880837911 0.0930620673648259 0.0867026770078838 -0.0480163924665643 0.0473585525011705
13 913 0.025082410497607 0.000785275662585284 -0.0208983978065394 -0.0407769964980828 0.03012758650439 -0.00333726127768249 0.0315490974505556 -0.156141651073605
14 1025 -0.019520596358552 0.00445355015427456 0.00124355419927941 -0.0500240874638574 -0.0234470469042703 -0.0243720756717826 -0.081732716247325 -0.0731168206154861
15 1109 0.0207979599809171 -0.0586292571252523 -0.00715501287778663 0.0228759768395945 NA NA NA NA
16 1109 0.0388608593435486 0.0900043793431142 0.0100229508255212 -0.0341095490652983 NA NA NA NA
17 1136 -0.00427527951369842 -0.0580448436476718 -0.0291606475881458 0.0170939457530435 -0.00513522627307626 0.00264795997065326 -0.0530815801853045 0.0030474388715665
18 1245 0.0544576223692068 -0.000139217096202688 0.0282060035550757 -0.0109692382093363 0.0654114455589588 0.00281114478862677 0.0376234421975677 -0.132857166920176
19 1266 0.0583993810626631 0.0114495089973607 0.0181376944282375 -0.00149769684854617 NA NA NA NA
20 1478 0.0526775839631291 0.0367667043439561 -0.00927821191317218 0.0504547325854543 0.0632733631340117 0.117619157353076 0.0185904804625833 0.064570605721645
21 1492 0.0655071223935348 -0.01239814650567 -0.00347588361325514 -0.020721171589294 0.0786834860530318 0.0123332646423608 -0.0631955996077643 -0.00615417181293041
22 1508 0.0655071223935348 -0.0123981465056676 -0.00347588361325353 -0.0207211715892942 NA NA NA NA
23 1575 0.0655071223935348 -0.0123981465056713 -0.00347588361325358 -0.0207211715892936 NA NA NA NA
24 1606 -0.0276696928157555 -0.0250378312742211 0.00981720017233077 0.000304830044332906 NA NA NA NA
25 1616 0.0160042510792213 -0.00388032494232054 -0.0318700216106665 0.0195397601195162 0.0192234099219937 0.062377373409616 -0.0323751005988898 -0.0162956886708138
26 1739 -0.0681527048057957 -0.0271110759294992 0.0175267338811646 -0.0249306003697382 NA NA NA NA
27 1813 -0.00914579807034686 -0.0278786124095015 0.0345230589901783 0.0112701779509124 -0.0109854203423688 0.0364025881880256 0.0408954355915015 -0.0131804300977462
28 1826 0.0778304155391432 0.0175193054104023 -0.00525316691339037 0.00216752901838062 NA NA NA NA
29 1901 0.0711869282588129 -0.00221322610621006 -0.00395385951425262 0.0176124429447442 NA NA NA NA
30 1943 -0.0468717195828333 -0.0235214425063544 0.0136734771565345 -0.00293967926022038 -0.0562996840545307 -0.0187944426851512 0.0195545068489191 -0.0354387437476003
31 1963 -0.0428508835148431 0.0112355658354658 0.0466923801263505 0.017439966426572 -0.0514700809958493 -0.0639083945161184 0.0299588827840414 0.141729651726838
32 2047 -0.0217365508382429 -0.0652148750069387 0.0459560458326985 0.000487180967505352 -0.026108727299105 -0.0670878196203534 0.00421952707116078 0.0119654753791116
33 2136 0.0156975719253308 0.0247710710189081 -0.0248423781536959 -0.0315037202592134 NA NA NA NA
34 2172 -0.0381152506035122 -0.0521034448292514 0.02614162479194 0.0414416040048206 NA NA NA NA
35 2179 0.0246134492305899 0.0545155750072051 -0.0251784035975324 -0.0367212011413021 NA NA NA NA
36 2193 0.0287748465892461 -0.00523836408497944 -0.034116615948907 -0.0216689758576067 NA NA NA NA
37 2199 0.0503157347037815 0.0627695077112241 0.0200167546531764 -0.00606141790427077 0.0604364421021152 0.0457933117228999 -0.0470283579585772 -0.065519091221177
38 2269 -0.0434071873034977 0.00928661248403566 -0.0390752209000529 -0.0111682915656607 NA NA NA NA
39 2271 -0.0476851658579728 0.00680796597073746 -0.0508811006972839 -0.00784640711841436 NA NA NA NA
40 2285 -0.0488597117278885 0.00884955023683302 -0.0309995230007384 -0.0337804129050096 -0.0586875488622576 -0.0207778783442883 0.020254513670189 -0.0286583138546391
41 2399 0.00115709989353567 -0.0205641179153839 -0.0171425391557989 -0.00420785835755979 0.00138984357743616 -0.0366277395100292 -0.0123010766765692 0.0121180372078168
42 2412 -0.0183308387371757 0.00888302446489697 -0.00689292118944403 -0.00904589523307382 NA NA NA NA
43 2573 0.0367984249831021 0.0142656201261542 0.00399695118311409 -0.00991585558576784 0.0442002068345657 0.0234800512031302 -0.0150167996416694 0.0803163877488588
44 2650 -0.00276296423668083 0.00656396576305632 0.0125499284826734 0.000607364610589765 -0.00331871787430793 0.034069212316182 -0.0068377314046582 -0.0391298402926376
45 2671 -0.0675874917523802 -0.0257534392972367 -0.0314213731953094 0.011477740952278 NA NA NA NA
46 2688 -0.0109199706336131 0.0124793265148938 -0.0416481794196469 -0.00157500664533474 NA NA NA NA
47 2978 0.0100024506786025 -0.0487549530257282 -0.0208264468937096 0.0241248157279086 0.0120143834702108 0.040739048423263 -0.0340896257289191 -0.0212327007151378
48 3236 0.00873619320058675 0.000574407812428036 0.0296224355461946 -0.0220299494732617 0.0104934259167336 0.00736186911303992 -0.0122887981787193 -0.0826091766833878
49 3296 -0.0205935294443133 0.0192259877098619 -0.0131431750154585 -0.000440209427488841 NA NA NA NA
