position baypass_2.1_ALL_BF_env baypass_2.1_ALL_XTX baypass_2.1_PRUNED_BF_env baypass_2.1_PRUNED_XTX baypass_2.1_PRUNED_eBPis_env baypass_2.1_ALL_eBPis_env
255 -0.658525001 35.07375753 -1.170061097 34.39579395 0.37723642 0.42495857
301 -1.273942104 40.38772913 -0.836947133 39.91389603 0.65366236 0.43743963
315 -1.110270945 38.54138041 -1.161297124 36.76939937 0.66526065 0.75371597
329 -0.956712452 38.15930689 -1.033066301 38.09080648 0.30663548 0.36810933
469 -1.162920857 39.43860680 -1.153785981 38.88047679 0.16172631 0.17179918
544 -1.155088587 38.78961457 -1.103757576 37.39018654 0.37682979 0.37104577
552 -1.181135018 38.93044798 -1.190973331 38.39513456 0.39718247 0.37948232
618 -1.096303941 41.30712213 -1.167328539 41.57763454 0.17384090 0.16775634
786 -1.529610299 32.49673504 -1.446664119 33.04476743 0.11562998 0.10053333
841 -1.329957179 37.92171734 -1.321788534 37.24293645 0.09481753 0.08650213
842 -1.5627366 38.27854684 -1.643148363 38.92089904 0.22389870 0.31668045
879 -0.824091495 38.37304146 -0.813536113 38.43449272 1.14518114 1.04501259
896 -0.202393172 44.55278061 -0.19104269 42.74098914 1.18731509 1.32841837
997 -0.848801803 41.03205120 -0.995699831 39.43273613 0.52830963 0.47994899
1013 -1.057548807 41.77160882 -0.996982006 43.15073173 0.44724989 0.21897367
1020 -1.146089645 45.13285063 -1.068994069 45.24917187 0.40068116 0.36642886
1084 -1.573593059 36.42395627 -1.522810955 36.82256810 0.23347988 0.18121938
1210 -0.529623027 43.27462714 -0.188468228 42.12935869 0.89354857 0.99970751
1221 -0.562363885 41.96208189 -0.578884965 42.05972364 0.90109019 0.90304554
1225 -1.696232847 37.48582557 -1.721287191 36.29620097 0.08215591 0.08055695
1292 -1.517015337 36.51409341 -1.540992571 37.62832954 0.09195217 0.11531099
1345 -1.079907871 34.76329327 0.03609313 35.02002692 0.64544800 0.89565719
1401 -0.421299003 41.45565388 -0.55502202 40.71854986 1.04665523 1.04093979
1462 -0.482384455 41.63302232 -0.566170829 42.52992629 0.70071973 0.88592030
1579 -1.641171151 39.74201949 -1.517538691 39.03652911 0.32518432 0.25627560
1675 -1.463858889 42.07125899 -1.443661223 41.74702167 0.69657001 0.41309356
1785 -1.496186323 38.58792761 -1.654746102 37.43253072 0.18146423 0.30745086
1823 -1.020403866 40.82716866 -1.107964596 41.15891039 0.30083997 0.26288513
1984 -1.615217884 39.81023942 -1.372201664 39.81611766 0.40801788 0.32437070
2095 -1.422183386 37.82689274 -1.249692795 36.61637110 0.49803649 0.25324636
2112 -1.746129375 36.78250136 -1.727990927 36.14829994 0.12029673 0.09141280
2125 -1.133487408 33.92371242 -1.154990079 33.52632229 0.15377578 0.14109664
2203 -1.116897986 30.67270694 -1.166149787 30.62309420 0.06740161 0.06301636
2206 -1.169832648 33.40843946 -1.206877965 32.01183221 0.03057841 0.05465333
2218 -1.211084058 33.46133009 -1.137285564 33.15610933 0.06871296 0.02911515
2232 -1.621143271 40.59434886 -1.583984389 39.75149980 0.31247692 0.19492429
2335 -1.152251944 34.19095582 -1.125463912 32.81026477 0.08322956 0.05367835
2364 -1.165508459 37.54351533 -1.117310607 37.41604272 0.12261724 0.18618065
2365 -1.283367726 42.42429274 -1.321924245 42.21704989 0.03401667 0.10280984
2385 -1.335327705 31.09940403 -1.291330512 31.90679498 0.22852747 0.21332279
2404 -1.456492368 38.82876399 -1.280913433 38.89700599 0.68560266 0.48911472
2434 -1.271561867 40.94453629 -1.235263588 40.37708974 0.06118774 0.02972881
2462 -1.642499073 36.95354644 -1.709768327 36.43439875 0.03809257 0.06703281
2652 -1.244345179 46.72087386 -1.362599571 45.23658825 0.07536094 0.00936769
2737 -1.10137334 39.04505475 -1.267997864 40.12497124 0.63481379 0.57882272
2797 -0.92760435 50.04099430 -1.109463494 48.96955505 0.27491453 0.35962736
2811 -1.198671531 41.75503181 -1.074224055 39.77894926 0.28280696 0.26888863
2909 -1.128073754 40.31808636 -1.104313641 41.62320927 0.26703594 0.16520536
2991 -1.205201169 37.50976540 -1.223819747 37.59473131 0.06380776 0.05127254
3128 -1.623946043 36.92952684 -1.628646139 37.56297402 0.16484172 0.12354073
3171 -0.779545176 40.78229425 -0.618593606 39.68663004 0.73331400 0.81328867
3198 -1.552497186 39.63420347 -1.562592489 39.11093837 0.08347568 0.18084157
3312 -1.135732499 37.33662639 -1.140334426 36.77214211 0.39154874 0.22515105
3370 -1.266433828 42.21834725 -1.274268399 40.66506491 0.33229461 0.22767972
3591 -1.480752414 41.49608054 -1.571449508 40.16116136 0.44824607 0.33722841
3604 -1.280861763 38.95566782 -1.258397921 38.18228062 0.22214240 0.17434116
3659 -0.908764366 39.79855248 -0.984627955 39.44836302 0.35726938 0.55663471
3750 -1.646707587 37.26463397 -1.818809988 36.78021239 0.21740280 0.19699123
3858 -1.631194239 35.94947944 -1.690702765 36.41395063 0.12311149 0.15378049
3892 -1.05390343 38.90761161 -0.501417799 39.74200618 0.52409705 0.41326611
3934 -1.222550113 36.01681092 -1.139472047 37.80026244 0.01273583 0.07056362
4107 -1.244632344 38.97306298 -1.436133805 41.27960608 0.66553581 0.47594731
