position baypass_2.1_ALL_BF_env baypass_2.1_ALL_XTX baypass_2.1_PRUNED_BF_env baypass_2.1_PRUNED_XTX baypass_2.1_PRUNED_eBPis_env baypass_2.1_ALL_eBPis_env
60 -0.698514492 42.43989223 -1.063445148 41.84733512 0.77326759 0.61824978
86 -1.1868554 37.73395765 -1.23244328 36.42869145 0.04406361 0.18260139
99 -0.924309838 40.79018584 -0.989494415 38.59292802 0.50711624 0.41575652
284 -0.611471425 36.90967380 -0.946197148 36.43181044 0.58454997 0.44258113
297 -0.938410413 33.99513106 -0.875859097 34.98536432 0.53285196 0.45460150
328 -1.643475068 39.84392574 -1.710454531 38.46126960 0.19284120 0.22494576
351 -1.069364673 41.52375723 -1.03606049 40.22778780 0.53010655 0.46147783
364 -0.921235366 40.85373372 -1.074472663 39.78115107 0.61739304 0.63985641
403 -0.898014993 39.39730532 -0.738482788 39.03411761 0.97447597 1.04082061
430 -0.483048054 40.48769734 -0.589825776 39.16989764 0.87956415 0.95901945
442 -1.15033969 44.05337033 -1.032000137 42.79707297 0.40257764 0.27773263
510 -1.265717604 40.50307487 -1.259614427 39.22855989 0.23628201 0.27085923
624 -1.20495399 37.01964576 -1.148479546 36.68245301 0.21264845 0.08591319
671 -1.381237232 34.81266696 -1.422536335 33.85634524 0.14113331 0.18460801
716 -1.682580784 36.70745987 -1.679954206 37.03988128 0.10497848 0.08439803
736 -1.503849341 39.59263187 -1.453797581 39.05156241 0.26623208 0.23911023
749 -1.855675657 37.21994296 -1.847307993 37.44820448 0.11520586 0.04182910
854 -1.449096236 36.99026805 -1.435167497 37.30464075 0.33887508 0.27416003
971 -1.454679424 34.97194885 -1.552232297 35.16156178 0.15580336 0.14542216
1095 -1.166455824 37.03321589 -1.164939164 36.83822946 0.02954667 0.02259486
1142 -1.098806093 33.65051733 -1.096741821 33.85038230 0.30888267 0.28267901
1147 -1.754987502 38.97393867 -1.59927558 38.60682968 0.29595595 0.15140187
1223 -1.435264066 41.70118391 -1.431775054 40.83218765 0.10500175 0.05719676
1240 -0.980535029 33.17502323 -1.160636784 32.09179215 0.19665055 0.26909695
1314 -1.159500023 40.52156733 -1.170342471 40.13098363 0.17116326 0.14756765
1353 -1.226007653 43.70805582 -1.184175946 41.31520949 0.02702817 0.03249836
1379 0.045425585 44.52473341 -0.531845349 41.10165270 1.59891035 1.49323089
1462 -1.119256479 38.21978819 -1.240929304 37.11504307 0.42167257 0.40721310
1479 -1.280525575 36.41064441 -1.26033818 35.27696481 0.35271978 0.34206707
1492 -1.334653567 35.36257232 -1.265348099 34.63921308 0.10564500 0.06191278
1605 -1.734712335 37.17224733 -1.750942387 36.87183578 0.07483756 0.03927857
1807 -1.470477419 37.41587655 -1.57235797 36.94318505 0.06795207 0.09877919
1939 -1.084591585 35.69827848 -1.147398059 35.22828747 0.15278798 0.15376619
2139 -0.827809517 39.20849737 -1.020158318 37.49250679 0.35816434 0.28941963
2161 -1.237369662 36.93658205 -1.260584488 34.98660258 0.01887880 0.02164535
2266 -1.143041563 38.16040209 -1.129056277 37.33766257 0.15215523 0.17123653
2279 -1.259573694 31.63038594 -1.199569357 31.12874697 0.00235241 0.00922081
2293 -1.617683656 39.51579891 -1.595756219 38.21210347 0.02650160 0.04648055
2347 -1.170746826 30.93415447 -1.116157043 30.77861180 0.22477847 0.21547573
2358 -1.199927718 33.88353218 -1.191604785 32.61826180 0.01153312 0.00957631
2433 -1.32363961 35.40872310 -1.313183735 35.17218141 0.50046167 0.42290634
2438 -1.505992793 37.73635690 -1.49668213 37.10409568 0.14612273 0.05810870
2811 -1.881242587 38.52372343 -1.783987453 38.54531637 0.01786580 0.01755915
2829 -0.538688445 35.35775016 -0.737263024 34.73882013 1.28501840 1.01773965
2840 -1.518907712 38.74887949 -1.604714094 39.62948493 0.24421729 0.19644183
2889 -1.177190518 38.99258309 -1.121074018 37.74135544 0.06962953 0.04022822
2925 -1.136233814 35.72911870 -1.162292768 35.96650833 0.02550574 0.03204770
2932 -1.160937231 36.71689359 -1.117670413 35.82074146 0.00724617 0.00496788
3103 -0.84383105 35.32959342 -0.978862625 35.03715112 0.55462947 0.52607812
3233 -1.677036529 38.54763423 -1.686916884 38.53001013 0.23125330 0.24508611
3244 -1.67512876 37.55202513 -1.647228565 38.28085098 0.26138617 0.25316328
3305 -1.078962329 36.78119020 -1.021188723 36.93018467 0.47245163 0.32386726
3310 -1.710864099 39.37751330 -1.658905654 39.69369016 0.17133462 0.18424051
3510 0.056514218 39.13574596 0.169673951 39.27506928 1.78728010 1.31072323
3587 -1.549205383 32.07147293 -1.549917801 32.34282666 0.01917385 0.05960027
3602 -1.525877229 31.15296716 -1.572252052 32.48074610 0.04005999 0.07248480
3613 -1.584316595 37.72855462 -1.663653508 36.34282097 0.00327253 0.08353955
3655 -1.439145855 38.06235255 -1.445343421 36.32012775 0.42735339 0.43681427
3750 -1.265643194 29.15269254 -1.299174469 28.85914330 0.04316246 0.01683367
3814 -1.50128839 32.45083433 -1.558454854 32.26381937 0.00491646 0.01424254
3815 -0.687328835 36.88103839 -1.07563743 36.38826632 1.03672011 0.73938374
3852 -1.192195187 33.49309766 -1.149651111 34.35117614 0.00766888 0.05179530
3999 -1.284843882 31.20897965 -1.24890416 30.03067734 0.07714713 0.07010051
4009 -1.206305118 31.77825241 -1.191642769 30.74752441 0.17680972 0.10813582
4028 -0.736371086 33.24821449 -0.770438167 32.63549173 0.82309199 0.66542493
4064 -1.685015498 37.74158172 -1.626152017 38.18389749 0.04235996 0.03431802
4106 -1.309396138 31.39097724 -1.213803852 31.39066005 0.06403496 0.03590782
4157 -0.994791046 35.19920617 -1.026432381 33.19703339 0.53099373 0.36551393
4177 -1.270220964 32.04799271 -1.254392805 31.27852338 0.07682746 0.05323178
4192 -1.241478796 32.75352055 -1.279275655 31.98348397 0.03264801 0.00021378
4367 -1.05723381 37.45928752 -1.097536976 36.00647714 0.31839505 0.25330226
4500 -1.427816383 32.01740962 -1.45710977 31.27764853 0.04961487 0.05574653
4622 -1.330166357 33.83958797 -1.402400097 32.67129065 0.05781367 0.13603057
4662 -1.678078954 35.40003868 -1.652645129 36.41455001 0.19629507 0.16127697
4697 -1.092986152 36.48865864 -0.993775625 35.32868938 0.24432314 0.26371459
4712 -1.615517204 36.17423142 -1.591561831 36.19548209 0.42952034 0.29279467
4794 -1.402415716 38.51171062 -1.420855837 36.48531877 0.15630216 0.12694493
4817 -1.255949773 37.35289109 -1.197505195 37.00156437 0.45265976 0.38069134
4844 -1.451000368 34.65910542 -1.415932864 34.63769650 0.37250636 0.34329781
4879 -1.15742096 40.30700175 -1.195883543 39.98616148 0.08027281 0.14083949
4884 -1.176490189 41.29739209 -1.159457973 40.63121282 0.03111218 0.07935310
4929 -0.931144983 38.20669579 -0.874683597 38.92985101 0.48797692 0.49467197
4931 -0.944380571 39.96166931 -0.944316583 38.74949050 0.50031560 0.39047229
