pos	baypass_2.1_ALL_BF_pheno	baypass_2.1_ALL_BF_env	baypass_2.1_ALL_XTX	baypass_2.1_PRUNED_BF_pheno	baypass_2.1_PRUNED_BF_env	baypass_2.1_PRUNED_XTX
15	-11.09005897	-11.09885409	36.65426117	-11.28260033	-11.29677489	37.48608790
43	-14.63460887	-14.63539924	34.26013296	-14.96247927	-14.96367820	34.97837710
50	-13.86521745	-13.86606784	33.91078697	-13.29101156	-13.29139039	33.65627637
128	-11.55733507	-11.56332055	41.63922426	-11.78126964	-11.78669560	40.79811192
186	-10.34640735	-10.33597768	39.90582502	-7.37874100	-7.37651706	41.46671668
196	-11.66486586	-11.66243070	40.47987424	-10.52990200	-10.52071049	39.21286516
219	-14.94769465	-14.94762828	34.14473700	-15.04580523	-15.04788018	34.16897433
227	-11.97682186	-11.97472592	42.52762426	-11.61412828	-11.61649651	44.26785235
261	-11.45380183	-11.45565779	39.15951680	-10.47810397	-10.47823644	40.46917313
339	-11.55324618	-11.54735744	43.85542790	-10.73246158	-10.72802079	43.66652499
527	-11.67310085	-11.67196287	39.48598694	-11.12339840	-11.11816460	39.04279360
657	-15.62509868	-15.62695783	35.69955191	-15.29074333	-15.29032282	34.80753232
682	-16.23817876	-16.22636960	42.67577378	-15.94470447	-15.95037980	42.95445384
765	-16.23668388	-16.24413216	40.65334990	-10.87534234	-10.87088295	40.83477997
833	-11.06453064	-11.06562652	33.37307072	-11.21473581	-11.21800528	33.68210950
854	-14.98286089	-14.98923356	37.30875213	-15.36583129	-15.37174397	37.24131237
1097	-16.97218905	-16.97803473	38.45018343	-16.77424395	-16.77048853	38.90128102
1412	-15.33032359	-15.34683649	37.69241449	-16.30429297	-16.31108902	36.74933065
1416	-11.28315759	-11.28784324	35.84417504	-10.92725762	-10.92971011	36.49148165
1434	-12.53279842	-12.53322245	39.10178553	-11.91474690	-11.91588294	38.60477015
1621	-14.50892752	-14.51370970	36.58972015	-15.02881577	-15.03425050	35.63987996
1656	-11.84101372	-11.84724065	35.80133911	-11.05164066	-11.06521924	34.94552610
