pos	baypass_2.1_ALL_BF_pheno	baypass_2.1_ALL_BF_env	baypass_2.1_ALL_XTX	baypass_2.1_PRUNED_BF_pheno	baypass_2.1_PRUNED_BF_env	baypass_2.1_PRUNED_XTX
25	-11.49755769	-11.51546636	41.23918358	-11.81676579	-11.81950179	41.39597242
56	-12.00697545	-12.01679960	44.48638614	-11.58035450	-11.58886442	45.25251558
300	-11.90613952	-11.91270307	33.48220558	-10.97187461	-10.95828531	32.58181545
595	-14.04080628	-14.03033304	42.01810534	-12.99080169	-13.01105205	41.35442201
599	-11.38568926	-11.38841526	38.76447644	-11.14431599	-11.13828602	38.68106593
604	-11.23021980	-11.23252131	39.14359249	-11.16264092	-11.16122083	38.36913030
605	-16.17647529	-16.15917892	38.05566347	-15.41718489	-15.39317882	38.05308215
619	-17.26998485	-17.27533987	38.02469125	-16.87274725	-16.87303311	38.60930112
699	-15.18827963	-15.21720642	39.44183170	-11.24586340	-11.27671243	39.95953673
748	-14.78668686	-14.81277780	40.15041755	-12.57402120	-12.60146029	39.13971436
836	-4.62314970	-4.63561746	36.54643099	-7.15199908	-7.18942611	36.74715460
888	-12.20415203	-12.17037997	37.23314040	-12.36474999	-12.33709091	37.03975202
908	-9.71460132	-9.68383340	39.33371985	-9.81112663	-9.77108376	38.68453580
984	-11.53215719	-11.50879332	38.33212488	-12.05019736	-12.03011480	37.77714738
1017	-17.59460146	-17.59720818	37.25294568	-18.04832364	-18.04736452	36.19891048
1104	-12.62906180	-12.64870316	35.32122436	-12.21618467	-12.22563252	35.04816375
1326	-5.41190184	-5.39956617	36.92259857	-5.88417612	-5.80207961	34.97807640
1509	-15.38539760	-15.38771105	44.71309220	-14.75451807	-14.75736337	44.79006154
1524	-9.78661023	-9.77529140	40.41861559	-10.43396180	-10.43184598	39.18133366
1531	-10.79801465	-10.81309821	40.92426458	-5.30830893	-5.39482497	39.44401460
1618	-12.29651326	-12.29827469	36.24610933	-11.77949370	-11.78327948	35.00142456
1626	-13.99937321	-13.99072932	42.66208602	-12.85411234	-12.84528740	41.60687284
1632	-18.45110112	-18.44026450	37.88455456	-17.85081469	-17.84883509	38.69258959
1725	-11.77907455	-11.78724907	38.94548012	-9.97888015	-9.98523976	39.85170230
1830	-13.94828165	-13.93878090	37.27784151	-13.69095788	-13.67260600	36.62943613
1832	-12.31762694	-12.29630418	35.36728767	-9.24401477	-9.22630523	34.83867702
1851	-18.00083610	-18.00026117	37.86526415	-17.74579353	-17.74743040	37.78846864
1864	-13.95911345	-13.96563669	38.52535311	-13.07963365	-13.08833185	38.68917339
2025	-11.66821878	-11.67421738	36.23761994	-12.17976923	-12.17847167	36.99222800
2031	-16.75567271	-16.75799453	37.48221997	-15.52352820	-15.54043650	37.62998238
2067	-12.93385435	-12.93025242	37.03424381	-11.77725289	-11.78021530	37.26590615
2075	-11.72361575	-11.71788970	37.56946763	-12.55305076	-12.55575125	37.35898931
2201	-13.38084996	-13.38858992	34.61468335	-13.66927078	-13.66161639	34.60233018
2205	-13.61930898	-13.62947337	39.42171916	-11.15116453	-11.09885974	40.94458955
2238	-13.53635819	-13.53630611	37.82327538	-13.14651485	-13.14670946	36.71496460
2356	-8.92063602	-8.97028520	36.70942452	-9.76017301	-9.80605997	36.82436336
2371	-13.92982923	-13.94911422	38.71022432	-8.97984433	-8.99660546	39.03453374
2377	-11.78221684	-11.77826259	36.45779499	-12.24263273	-12.23595551	35.47368917
2438	-17.69758435	-17.68467160	37.47250603	-17.17801665	-17.18381412	37.91687195
2518	-18.38517899	-18.38382536	38.19452126	-18.67651468	-18.67138257	38.22853871
2559	-11.97810531	-11.98199832	43.45575575	-11.39288163	-11.40723581	41.96216800
2574	-14.94682116	-14.92054929	36.48583326	-14.79993652	-14.80975566	36.35924017
2682	-10.28913579	-10.26094829	40.75650705	-11.15744324	-11.15004609	39.54671069
2696	-12.35675419	-12.34863126	38.78987994	-12.64205222	-12.63957180	39.23497946
2746	-13.49326596	-13.48686069	40.07022674	-11.55137308	-11.53765549	38.24383592
2914	-3.58400859	-3.57387262	38.82934030	-0.92034711	-0.82307453	38.98760087
2947	-5.21586501	-5.13739108	39.57561109	-7.85131748	-7.85326282	38.58865625
2961	-14.04847978	-14.05720660	38.65495411	-13.09303088	-13.08107700	38.53151891
2971	-5.27813907	-5.25844777	34.13657199	-6.24903673	-6.22653359	33.64917295
2983	-17.36437020	-17.36722719	36.35074985	-16.96624309	-16.96998033	37.54146588
3116	-11.43340772	-11.44798748	38.62121971	-11.86617461	-11.88167114	39.08586313
3137	-12.30369168	-12.23854432	42.57750810	-11.48194407	-11.41122240	44.48108922
3168	-8.82073924	-8.84133344	35.32610013	-12.20592761	-12.20890457	35.18138464
3201	-2.92947811	-2.88584902	37.69728802	-1.30198106	-1.21905133	37.70471632
3204	-15.95473099	-15.95183266	35.15094913	-16.88759184	-16.87699012	35.96125813
3225	-14.00394630	-13.99955920	41.28292470	-14.38647941	-14.38172885	41.56442130
3286	-16.18053529	-16.19841692	37.14666686	-16.90192133	-16.90586914	37.47612360
3309	-10.82600215	-10.83002794	35.25378054	-11.43350769	-11.43418960	35.05610532
3359	-7.12213704	-7.11139404	35.90993993	-9.50228114	-9.46701116	36.06659009
