pos	baypass_2.1_ALL_BF_pheno	baypass_2.1_ALL_BF_env	baypass_2.1_ALL_XTX	baypass_2.1_PRUNED_BF_pheno	baypass_2.1_PRUNED_BF_env	baypass_2.1_PRUNED_XTX
181	-14.32208511	-14.30925847	40.08788598	-15.74713849	-15.75010791	40.08192385
242	-11.59917362	-11.57913175	36.39332206	-12.16362525	-12.17690682	36.49982744
275	-14.83077448	-14.83123134	35.86662680	-14.54849751	-14.55937921	36.28785325
343	-14.66821934	-14.66828174	39.46922075	-14.93041040	-14.92925723	39.81330607
583	-12.39830324	-12.39495196	44.49737489	-12.15834238	-12.15861065	43.21750638
656	-16.56908967	-16.57005595	39.04170634	-16.77999553	-16.78290645	38.13733227
685	-5.00569545	-4.95336029	40.61649662	-1.60365019	-1.65729881	40.95344298
772	-13.23063984	-13.22585560	39.72158326	-12.19277843	-12.18466543	40.72744710
796	-12.66143401	-12.65934734	40.10534939	-11.48504077	-11.49913285	39.27987916
876	-11.99223368	-11.98886164	33.30586110	-11.01454418	-11.02397194	34.15567906
908	-13.68399479	-13.68908951	37.75207051	-13.87744114	-13.88682564	38.26820759
979	-15.25470244	-15.26132657	40.69039483	-15.52845723	-15.52880044	40.07467125
998	-13.72355961	-13.71716274	37.69227706	-13.69328321	-13.69097564	35.96393581
1144	-12.72265346	-12.72911001	35.29759055	-11.45014852	-11.45693104	34.75074894
1161	-16.58873056	-16.58573126	39.86716324	-17.42259722	-17.42487078	38.31435817
1183	-12.41921476	-12.40923919	35.14463649	-11.06477506	-11.07724875	34.92637594
1266	-10.90430726	-10.93546940	37.85105020	-14.38782571	-14.42625447	37.61550265
1565	-15.01013891	-15.02172843	40.01134192	-14.69338622	-14.69849691	39.39666082
1851	-13.68718221	-13.66673664	33.92684968	-13.46239453	-13.44074272	34.02511580
2152	-11.70091717	-11.69284190	37.24964391	-11.37076579	-11.36666947	35.97724347
2196	-11.96445972	-11.95718565	35.26406359	-11.79055692	-11.78847063	34.97322641
2248	-15.11945489	-15.11684263	37.43450243	-14.63610682	-14.64235963	37.46785499
2293	-12.51387676	-12.52294805	33.34092591	-12.74230612	-12.73706163	32.39816341
2304	-15.30918609	-15.30791555	35.19281986	-15.71059223	-15.71070124	34.89015165
2430	-14.57711476	-14.58511468	41.68740963	-14.78504666	-14.79739294	41.06954595
2464	-15.53023529	-15.54113863	38.51481746	-15.39263252	-15.39720654	39.55990580
2616	-12.46752813	-12.47524548	34.98578179	-13.09092988	-13.09025951	35.70613336
2714	-18.01986684	-18.02123859	37.64700430	-17.26154449	-17.26623354	37.12117227
2724	-17.82611290	-17.82660027	39.89375889	-17.67660755	-17.67990465	39.95033065
2790	-13.44794258	-13.47750111	36.74397716	-12.85667452	-12.89280484	37.43459330
2795	-17.20032777	-17.19888398	40.75709240	-17.01804789	-17.01816431	42.08793628
2855	-12.32109541	-12.38420022	44.11360535	-13.49195455	-13.52410060	45.66522546
2858	-14.35732358	-14.36487397	37.40422790	-15.29478610	-15.31170623	36.34423304
2916	-10.05444794	-10.04656610	41.56404669	-10.11480725	-10.10077462	41.98361750
2921	-12.99652138	-13.01358897	35.15334600	-12.12643594	-12.16942358	34.64641310
2961	-13.82564976	-13.82002307	39.34125907	-14.00747143	-14.00122707	37.52612414
2987	-14.59900846	-14.59200853	35.50050885	-14.50226374	-14.50363670	34.47137957
3038	-12.42921632	-12.42979425	39.42631538	-12.60745391	-12.61373869	37.27385169
3067	-11.60545105	-11.59893459	35.44229374	-11.79965680	-11.79299524	33.51194089
3189	-12.39840823	-12.40185518	38.28740511	-11.49905958	-11.51235568	38.07651173
3215	-16.35081574	-16.35331008	41.12782799	-15.97558462	-15.97291021	41.30285499
3292	-16.45780350	-16.44103029	38.08595713	-15.71321647	-15.68779836	37.50515989
3401	-12.08989661	-12.08640384	36.98952079	-10.85487605	-10.85315803	35.61644454
3418	-4.18419765	-4.18673488	39.41835729	-2.46422222	-2.48505497	39.36586775
3437	-5.42608016	-5.43433034	38.16495875	-7.73242615	-7.73785761	37.52686648
3732	-8.38936242	-8.34649233	41.72597437	-11.63680327	-11.63379281	41.41913755
3925	-10.70114255	-10.70043859	39.07405121	-10.12610394	-10.12978718	38.83735040
3925	-16.94720163	-16.94482758	43.14877671	-17.22457998	-17.22052674	42.60355336
3941	-13.00864967	-13.02796830	41.91438541	-10.91438754	-10.94763389	41.23821211
4060	-12.64246063	-12.63647615	35.97465193	-13.00223438	-13.00146061	34.92033002
4074	-15.93378918	-15.93435188	37.48493967	-7.33035068	-7.38649987	37.82250069
4082	-10.68530995	-10.68173987	40.95016098	-11.96162879	-11.98167960	40.73158863
4121	-8.72596896	-8.75509150	38.36191290	-12.90876932	-12.88313662	38.62788111
4126	-10.57324416	-10.56193074	36.82118235	-7.84847107	-7.84408786	36.83420958
4224	-14.53555657	-14.53515372	36.16039969	-14.14230277	-14.13751910	36.70921354
4470	-12.50484569	-12.50352979	35.39249645	-12.70109871	-12.70080180	36.42668981
4831	-12.15267889	-12.15440719	40.59394242	-11.40714766	-11.40099001	39.41272959
4942	-11.80086647	-11.80231011	48.18847077	-12.09457070	-12.09529741	47.86813994
5031	-15.70200973	-15.70473365	41.63418354	-15.70591356	-15.71267942	41.62387618
5132	-11.72283291	-11.70256582	37.65052890	-11.67297334	-11.64707649	36.83029028
5186	-9.57347244	-9.56050147	38.81118721	-10.36754827	-10.35701262	39.24716697
5232	-16.61935456	-16.60884805	42.41054293	-15.16853867	-15.15199552	41.31745029
5278	-11.66265037	-11.67257561	34.71542450	-13.43153969	-13.43698213	35.31544036
5303	-12.32104181	-12.31556332	39.09143553	-12.25047625	-12.24809900	38.86342419
5569	-8.98429800	-8.95868459	44.97648872	-11.02701334	-11.01008964	44.39149336
5578	-12.87471813	-12.88337979	37.46936585	-12.62072081	-12.58669752	37.60907227
5654	-11.10776039	-11.11698352	44.32077093	-10.42684568	-10.44888190	44.65603922
5669	-11.31986939	-11.34441424	39.41171709	-11.43584640	-11.46266974	38.44135974
5697	-11.58406677	-11.56722694	36.62348032	-11.79871416	-11.78109852	37.85729807
5752	-17.50273405	-17.49772584	37.75159181	-15.29528936	-15.28427715	37.78508585
5817	-15.97103765	-15.98573311	34.54428073	-16.66327165	-16.66775984	34.66472610
5869	-12.06364864	-12.06488597	37.57327867	-11.84766047	-11.84402065	37.13528873
5886	-11.39855820	-11.42616622	39.09070155	-12.09493799	-12.12090992	39.26457014
6006	-6.76839576	-6.77365182	39.28995151	-4.39627775	-4.38505826	37.76273084
6012	-7.43174260	-7.43020244	40.71581352	-6.63538120	-6.62556482	39.73090955
6228	-9.96969827	-9.93195395	42.39509825	-6.29845593	-6.24469795	41.46928266
6293	-10.59820564	-10.57432216	41.71806224	-8.24846470	-8.20591890	39.92684144
6346	-10.80682028	-10.80437997	41.28341461	-10.34476315	-10.32930990	41.53559682
6356	-12.04269908	-12.03625137	41.07837694	-11.83723562	-11.82635973	40.43960943
6375	-13.89206124	-13.90060245	39.04514955	-13.35500124	-13.37053774	37.99684871
6529	-10.46995597	-10.49005931	37.44825527	-10.76572849	-10.78782347	37.43705840
6529	-18.53916434	-18.53395872	39.10072950	-17.06788140	-17.08320259	40.27039298
6547	-10.59807218	-10.63059708	37.92395543	-10.66232291	-10.68421624	38.09077286
6647	-7.02797957	-7.02144975	31.80473977	-8.28788350	-8.28535447	31.70589642
6791	-15.36178668	-15.36087030	36.42737354	-15.12060129	-15.11961127	36.09293028
6990	-11.76887973	-11.77485566	35.31617455	-10.58258247	-10.56669888	34.71535446
7002	-11.60373513	-11.60648858	36.83271137	-11.46876954	-11.47206290	35.69400591
7038	-12.47275772	-12.45836352	39.76626312	-12.29757975	-12.29169512	38.51925783
7043	-11.53042355	-11.51713219	39.31668283	-10.67695592	-10.66379970	39.10649382
7190	-14.64393320	-14.65128193	37.47477967	-14.48321370	-14.48940777	38.04390833
7194	-5.34736727	-5.39594981	46.82075966	-7.07340779	-7.07646830	46.57760996
7233	-9.38254305	-9.35865469	42.48499194	-10.57534869	-10.58066463	42.57342756
7238	-5.68384687	-5.68400529	47.74893658	-6.63484191	-6.62923344	45.04757972
7255	-11.86564951	-11.87244573	40.82288892	-11.68077178	-11.68632699	40.68108837
7273	-13.42454098	-13.44741974	40.51941952	-12.64915563	-12.66256973	40.05071474
7277	-15.75271872	-15.75370900	35.67794587	-15.45582222	-15.45003438	34.96208158
7406	-13.92412520	-13.92610518	34.05085867	-13.34846804	-13.35243973	34.72686211
7430	-12.90123414	-12.89317687	42.28960271	-12.11671367	-12.10125873	40.72742542
7436	-8.80810078	-8.80763967	40.81329388	-12.04427584	-12.05225601	39.75759104
7451	-18.58820529	-18.58408139	35.56677646	-18.57241061	-18.57502029	35.24973042
7579	-12.36189626	-12.36442535	43.33299962	-12.20797566	-12.20693004	42.97556655
7650	-11.84847374	-11.83708626	48.69731001	-11.75187891	-11.74175992	48.07250756
7783	-16.83396647	-16.83374787	35.73749395	-16.52579658	-16.52449941	36.86884067
7832	-11.92765261	-11.92117871	49.19567741	-11.44239128	-11.42012331	48.66285885
7833	-15.78662625	-15.79845502	36.94393802	-15.74097173	-15.75722726	37.46827681
7873	-11.73524108	-11.73447148	41.94135035	-12.01219640	-12.00969997	40.05955548
7879	0.40526013	0.42271305	44.97092738	-0.23383640	-0.24120788	44.31721071
8022	-8.30424261	-8.34846975	37.33875167	-8.00624609	-8.07280357	37.05873150
8057	-15.56552474	-15.53448586	35.35601905	-15.89860514	-15.87252146	35.38144097
8091	-16.62648975	-16.62481770	42.21163105	-17.28730197	-17.28673973	41.34081684
8108	-14.40018057	-14.41664240	37.49675474	-14.79763621	-14.80300037	36.24267451
8165	-17.00494098	-17.00757832	39.90818218	-16.84369542	-16.84014205	38.92254144
8233	-16.18066893	-16.17399770	38.41453909	-15.76595185	-15.75800839	38.57430093
8249	-14.44012949	-14.43478024	39.00017244	-14.28940563	-14.28564340	38.78556784
8395	-12.29204869	-12.28887469	36.72484368	-11.68773584	-11.68667153	36.71733971
8433	-10.97939078	-11.00682626	36.89873742	-10.88585884	-10.90555586	37.82389080
8529	-13.80784420	-13.81892386	39.60296152	-13.45739838	-13.48331353	39.41285785
8543	-12.72085527	-12.74251426	36.17533594	-12.78119091	-12.79523271	35.64864932
8570	-9.48093899	-9.49244593	43.34364211	-9.51469158	-9.52823453	41.66863842
8590	-7.90837153	-7.94352761	36.89992877	-11.17632884	-11.18375129	36.06453511
8654	-16.96959271	-16.96406798	35.41092784	-17.43852620	-17.43885465	35.52661830
8663	-6.36877286	-6.41639240	44.34579133	-7.30563276	-7.33457412	43.24727376
8766	-12.02586379	-12.04755316	38.96313947	-10.35818552	-10.38750580	40.07891074
8854	-14.75374212	-14.76028455	35.02433038	-14.24803470	-14.25760692	35.51769180
8964	-15.49574989	-15.49160347	37.26393900	-14.04450720	-14.05670533	36.66621677
9138	-16.48570877	-16.48939353	37.88677162	-17.52259871	-17.51844789	35.87184005
9227	-7.33399926	-7.38303505	40.83150408	-8.20453836	-8.24094810	39.97471186
9454	-14.96229321	-14.97443621	37.47293209	-14.13798163	-14.14856856	37.89148657
