pos	baypass_2.1_ALL_BF_pheno	baypass_2.1_ALL_BF_env	baypass_2.1_ALL_XTX	baypass_2.1_PRUNED_BF_pheno	baypass_2.1_PRUNED_BF_env	baypass_2.1_PRUNED_XTX
87	-15.66413435	-15.66709570	38.83816845	-15.63394116	-15.62413640	38.33245949
159	-10.19718194	-10.21306365	38.68887532	-10.89053647	-10.90647045	37.27519521
246	-7.44881241	-7.49608302	42.45008134	-5.57923932	-5.61156089	42.13583864
312	-14.05175863	-14.06446205	40.24990812	-13.71630864	-13.73957372	38.12561445
369	-14.17037545	-14.17974713	41.20226437	-13.88332187	-13.90399633	40.63620163
489	-12.47691645	-12.48663978	42.09810072	-14.10192600	-14.09072294	43.21029178
526	-10.04943244	-10.05273895	32.12319074	-11.06208625	-11.07227090	32.70504911
570	-11.31139574	-11.31316282	42.26549402	-10.76728316	-10.77543267	42.29862740
611	-18.13092107	-18.13802092	37.49921487	-18.88422214	-18.88666917	36.95009350
710	-12.88393960	-12.93904416	40.77504938	-13.46475056	-13.50943827	38.50454494
853	-9.07862488	-9.11175413	41.35742008	-10.26897592	-10.21230937	39.59412981
1137	-15.16143274	-15.20750535	44.62877801	-14.27675557	-14.30531489	45.08753848
1182	-17.55149879	-17.56129085	38.14912918	-17.29115775	-17.28538363	38.47794489
1317	-11.22873653	-11.23711477	37.03872456	-11.27958227	-11.27916569	35.37420603
1383	-14.45242727	-14.45067538	36.16510451	-12.04484044	-12.04195104	35.67504424
1446	-12.58605529	-12.57895490	38.42893883	-12.08333828	-12.06908643	37.56443431
1482	-11.29938112	-11.25998208	37.63213914	-12.96142719	-12.95035299	37.06137623
1485	-13.78536665	-13.83616806	38.16710870	-14.26538962	-14.30989309	38.27916773
1596	-8.29053818	-8.30379509	33.59623639	-9.93163455	-9.93280901	32.79986479
1641	-8.17106882	-8.17125059	38.68357545	-8.87341961	-8.88141191	36.56188201
1782	-16.65495638	-16.66562471	38.59614666	-16.52380798	-16.52569419	38.86733702
1810	-11.77911108	-11.77473477	37.80715442	-11.36282276	-11.36279452	37.99239702
1835	-11.24839580	-11.19748011	41.94529019	-11.74425418	-11.69773064	41.68997236
1868	-14.95417677	-14.95752796	40.78922794	-16.58898594	-16.58395944	39.14148390
1891	-10.91726290	-10.91156774	34.37595065	-10.94794660	-10.93121181	33.21311465
1943	-17.47586101	-17.47912435	38.07752227	-18.49702511	-18.49608084	36.70375014
1982	-12.55290212	-12.57801701	36.04128209	-12.83022935	-12.84964315	35.30914769
2048	-14.57424138	-14.57305594	41.59346990	-14.46916915	-14.47241538	41.22766988
2064	-15.47672449	-15.48131217	35.10932798	-15.27228384	-15.26621966	36.13232008
2317	-11.17172878	-11.17794605	38.18457072	-11.20703085	-11.20758235	38.24675835
2317	-13.94603374	-13.97451009	33.43886126	-14.46000025	-14.49343083	34.82486705
2412	-11.51641169	-11.51698072	37.91195882	-10.87069304	-10.86647290	38.33730541
2501	-12.53119608	-12.55183889	33.14195676	-11.71056076	-11.72955430	33.62672897
2501	-16.36340546	-16.36389274	41.26816857	-16.56215164	-16.54490327	41.46668796
2558	-1.39721432	-1.36890619	42.01088526	-6.58842184	-6.59847251	42.37874066
2637	-13.92517944	-13.86951301	35.26579173	-14.61801623	-14.61907889	35.24752143
2724	-11.17092032	-11.15487969	40.98448761	-11.31052924	-11.30484272	40.32992821
2734	-18.83912344	-18.85148590	36.00826272	-18.27987118	-18.28115568	36.04206443
2761	-14.62416764	-14.62726090	38.09993609	-14.63523881	-14.63738444	37.32182062
2765	-12.17552527	-12.17213695	42.03428159	-12.07294384	-12.06174524	40.96695369
2999	-12.87563811	-12.87838630	36.59475994	-12.83181020	-12.83311126	35.52114045
3014	-12.00795191	-11.97390957	36.90072782	-10.97959705	-10.91939695	37.17544411
3065	-15.62338729	-15.63931964	43.65420273	-14.47900698	-14.48383231	45.84186368
3104	-14.06523166	-14.09369891	37.76870922	-13.29889253	-13.32487297	36.61114320
3124	-9.09207167	-9.05086696	34.00649892	-9.03641986	-9.00156180	33.88204873
3214	-11.03884772	-11.12405297	49.72564821	-12.03890669	-12.09939389	48.99560740
3398	-18.16329416	-18.17082028	39.52942530	-16.85486464	-16.86625048	40.64417662
3434	-14.39974710	-14.44741044	35.84436581	-13.03501658	-13.07644773	36.29165462
3806	-14.70996266	-14.69829718	35.84347547	-13.69282204	-13.67109255	35.67481080
3808	-14.97176259	-14.97538628	41.90593565	-14.43178960	-14.44010349	41.70900143
3904	-11.37633719	-11.40196529	39.83417493	-11.28094428	-11.30651283	38.72151766
3907	-9.87058830	-9.87422374	39.61522558	-9.50995665	-9.48807367	39.01267481
