position baypass_2.1_ALL_BF_env baypass_2.1_ALL_XTX baypass_2.1_PRUNED_BF_env baypass_2.1_PRUNED_XTX baypass_2.1_PRUNED_eBPis_env baypass_2.1_ALL_eBPis_env
5 -1.967347712 37.44474425 -1.860532114 38.84502972 0.01898289 0.00623750
201 -1.147078164 33.79261846 -1.180032226 32.74076267 0.14620997 0.13439480
225 -1.068641525 34.73461763 -1.128468337 33.61843466 0.20319645 0.15488368
237 -1.431830093 34.56191071 -1.379358363 34.27928522 0.11976986 0.09370604
424 -1.691478598 36.35886538 -1.619472546 36.27182153 0.02817783 0.05710158
485 -1.427078952 36.18810792 -1.383215351 34.81268486 0.38760012 0.37773046
503 -1.711772447 40.04136905 -1.754383958 40.55191014 0.05964986 0.00761069
549 -0.545227348 38.38317749 -0.595578838 38.52639054 0.83507713 0.56055179
700 -1.394956201 35.13230377 -1.319656901 35.23312556 0.08036362 0.00899332
710 -1.479846829 36.22806758 -1.430174529 35.81910416 0.13213142 0.17683226
723 -1.704397087 37.72373564 -1.622649369 37.40043852 0.22138865 0.12431545
789 -1.541775591 39.12093061 -1.539826634 38.35668651 0.16919989 0.18491656
843 -1.810157876 37.16842178 -1.641388472 36.73969097 0.04773705 0.17385144
967 -1.369391627 40.90710628 -1.347748442 39.11540231 0.21875228 0.22945749
1245 -1.392365883 35.85416373 -1.373098135 35.52330856 0.00077578 0.06393203
1306 -1.201141331 37.72179839 -1.181951946 36.13048288 0.00861149 0.01410808
1374 -1.693222384 40.02976414 -1.708822251 40.22428521 0.00827852 0.07088046
1754 -1.221444538 38.41974929 -1.142353298 35.78857901 0.05759449 0.00488678
1787 -1.223496394 36.95265458 -1.206232231 36.46415730 0.07459465 0.00119587
1934 -1.367786767 40.55845345 -1.434604651 39.68683607 0.31937993 0.34999653
2129 -1.172139325 32.93871986 -1.254192071 32.56479325 0.00344909 0.02054034
2248 -1.135705953 33.34055833 -1.131437152 33.21126367 0.02648560 0.04256505
2280 -1.141937027 33.59963937 -1.127069924 32.42113933 0.08112024 0.02340603
2309 -1.565275346 40.03422856 -1.619139668 39.84728894 0.03603607 0.09467450
2354 -1.646287615 40.77829622 -1.710034997 39.81018910 0.10871904 0.08318420
2367 -1.433324447 39.38951925 -1.444555072 39.09484044 0.06045289 0.00297177
2662 -0.93210319 37.94418489 -1.347874394 36.71726305 0.05211161 0.05610547
2692 -1.129478926 35.17128860 -1.125163487 35.19647256 0.23000190 0.23870920
2711 -1.250066749 38.06916535 -1.056033062 37.26940654 0.02814891 0.04578540
2784 -1.857546252 38.64654922 -1.83918921 38.32908925 0.01393873 0.01148207
2826 -1.198396062 36.20742935 -1.237264676 35.82184017 0.05783879 0.11862916
3047 -1.171201004 35.43487811 -1.096845445 33.74494211 0.09372229 0.00537067
3127 -0.978939813 34.30771995 -1.082182832 34.23736658 0.20111946 0.20984137
3182 -1.577236771 34.66296724 -1.659865769 34.66788357 0.19066085 0.14988284
3384 -1.238596148 35.58560812 -1.339502824 34.56381817 0.00111239 0.01804743
3541 -1.563552468 38.60370760 -1.479857968 37.39524472 0.04631240 0.04222469
3565 -1.272305754 42.33755025 -1.066614787 41.19371476 0.57378691 0.49657655
3620 -1.283183624 35.46003286 -0.963378967 34.69890988 0.47736758 0.42331383
3650 -1.6915604 35.87071365 -1.612224816 37.13921594 0.11832893 0.12228442
3828 -1.12252572 32.61272837 -1.201603269 32.44159754 0.01223802 0.05330500
3832 -1.450178481 34.92332236 -1.631927459 36.33517193 0.24379043 0.18203896
3869 -1.531595761 39.88641843 -1.599826316 38.39765995 0.01210875 0.06061094
3907 -1.467388094 39.50544104 -1.527320234 38.59059743 0.18666663 0.13632428
4007 -1.159198791 35.45937320 -1.128489247 34.19473245 0.20011349 0.18235505
4023 -1.566360731 39.83608619 -1.316221533 41.28062127 0.40091991 0.36366233
4260 -1.252418721 38.58091585 -1.232225534 35.73568556 0.17949256 0.13017674
4329 -1.832119153 39.98232112 -1.720783806 38.79358178 0.07074740 0.07146558
4335 -1.195596053 36.35225644 -1.210268843 35.56836282 0.00312585 0.01080259
4441 -1.126323567 35.60720858 -1.174328634 33.73694459 0.13405700 0.06538927
4526 -1.868690318 39.47664386 -1.842418477 39.77167036 0.02824209 0.01760065
4751 -1.020596934 40.45419737 -1.315968544 41.64639601 0.03495590 0.00886335
4761 -1.304493514 33.84250435 -1.241910856 33.15046016 0.05875913 0.07161022
5354 -1.375278653 42.75738372 -1.332252556 42.91250822 0.14270843 0.08706172
5410 -1.348843346 39.10807636 -1.385476619 40.03036149 0.48256069 0.35462389
5463 -1.408622799 35.75122737 -1.230636896 35.89240838 0.48174778 0.38055673
5502 -1.431479199 36.85779585 -1.401819466 37.49887839 0.15958096 0.11043417
5731 -0.987270851 41.06947352 -0.837371374 40.28981840 0.94609289 0.81330172
5802 -1.186283079 41.19202303 -1.180092603 39.25727773 0.24427296 0.16514056
5805 -0.314239934 41.62487583 -0.480110786 40.88877208 0.92499701 0.67357698
5858 -1.539888112 34.41836246 -1.586262468 34.45755517 0.05023906 0.06796611
5860 -1.30049583 30.95967834 -1.293365871 30.91326357 0.03260215 0.01906131
5954 -1.711193951 35.48582405 -1.605341422 35.19950577 0.02761942 0.05504745
6096 -1.738614037 42.31361934 -1.695950834 40.97494851 0.03070804 0.00054665
6226 -1.859991689 37.59707756 -1.887795887 38.33343325 0.11558517 0.15079309
6240 -1.16235636 35.96979847 -1.209772276 35.84764481 0.02425672 0.01235581
6300 -1.850136996 39.41711784 -1.82321445 38.82714581 0.00365603 0.02376542
6494 -1.590165277 36.39606210 -1.691800658 36.25178414 0.01664601 0.00722148
6680 -0.907470895 39.56240498 -0.957498065 38.39292681 0.60457408 0.39624405
6729 -1.753402137 39.47998089 -1.709124071 39.05022389 0.19115062 0.18307922
6755 -1.224269513 43.01231369 -1.06341267 42.97933603 0.09846688 0.02606940
6809 -1.736540204 37.37972534 -1.5727922 37.26832686 0.10765906 0.05314881
6891 -1.704761994 36.71782482 -1.604582322 37.86263995 0.04599657 0.09596852
6915 -1.613138339 34.36583845 -1.418458019 35.25856869 0.03877427 0.15539931
6989 -1.184374757 48.29663046 -0.963269936 47.31262016 0.43762973 0.31544381
6990 -1.064125282 33.98761100 -1.232614302 35.15012100 0.25144326 0.24764819
6999 -1.376275955 37.89854577 -1.357899117 37.17552429 0.17320062 0.08029260
7028 -0.86342065 41.20251396 -1.285477367 40.94769858 0.42459214 0.42867312
7089 -0.953149766 41.16601184 -0.971596307 39.86801312 0.40289480 0.35939468
7178 -0.918777615 46.40623873 -0.890030051 43.61132564 0.55847535 0.45361467
7216 -1.440125916 39.82988547 -1.366595993 40.01744572 0.12978528 0.13983021
7412 -0.704021531 43.33906466 -0.620503848 45.00591440 0.74183984 0.56511295
7441 -1.25338188 45.61379783 -1.44259954 44.41809209 0.41210379 0.39453481
7528 -1.305355814 41.10419111 -1.212163739 40.93925887 0.01144664 0.01928493
7531 -1.455096235 36.92999150 -1.414950078 37.09739590 0.14393834 0.07144769
7611 -1.1329804 35.38526657 -1.123063254 35.59576613 0.21356117 0.09258265
7799 -1.3203357 37.51936282 -1.373274754 37.16343837 0.17675022 0.18571797
7880 -1.704470767 38.82756534 -1.774798497 37.81323376 0.05326367 0.01479373
7964 -1.780459512 36.26401902 -1.7184491 35.99262491 0.06982980 0.02255950
7987 -1.480295096 37.10959894 -1.625916647 36.20192593 0.02034758 0.15583933
8062 -1.488186291 37.01633182 -1.460886555 37.06655261 0.23409278 0.21616297
8106 -1.511025301 37.89086759 -1.442045444 36.82116993 0.22658236 0.10700460
8207 -1.509490278 38.12481116 -1.649606317 38.18867875 0.26500279 0.20612275
8237 -1.59023069 36.57842015 -1.697232873 35.18205253 0.22916416 0.04706775
8316 -1.757067427 39.69571662 -1.701527517 39.99711382 0.09120893 0.15994049
8317 -1.334082674 33.66186968 -1.252068577 36.47947874 0.02300430 0.02786962
8445 -1.330611859 41.88141805 -1.282775189 41.19579187 0.12274677 0.05064660
8478 -1.221911081 35.42032925 -1.302376062 35.07852140 0.03553385 0.02298511
8534 -1.656075586 43.64001179 -1.679438787 41.20819208 0.06663385 0.05987391
8542 -1.642712475 42.09603381 -1.626187419 40.63439467 0.05182528 0.07499579
8605 -1.696518515 34.21933002 -1.557794102 34.31506133 0.27164935 0.12672206
8615 -0.957294917 41.87066309 -1.12523691 39.21111174 0.19874533 0.20261006
8890 -0.842965345 38.48526215 -1.023431685 38.72138862 0.51552557 0.54775671
8937 -1.35667918 34.50096966 -1.385814915 34.79010335 0.09413001 0.15681188
9167 -1.356773557 31.08963943 -1.179520784 30.84029464 0.18332075 0.07555987
