"position" "RDAvegan_v2.5.2_PRUNED_loading_RDA1" "RDAvegan_v2.5.2_PRUNED_loading_RDA2" "RDAvegan_v2.5.2_PRUNED_loading_PCA1" "RDAvegan_v2.5.2_PRUNED_loading_PCA2" "RDAvegan_v2.5.2_PRUNED_loading_PCA3" "RDAvegan_v2.5.2_ALL_loading_RDA1" "RDAvegan_v2.5.2_ALL_loading_RDA2" "RDAvegan_v2.5.2_ALL_loading_PCA1" "RDAvegan_v2.5.2_ALL_loading_PCA2" "RDAvegan_v2.5.2_ALL_loading_PCA3"
"1" 16 -0.0625878638651814 -0.0112540505073772 -0.0601701230408094 0.00730344399241678 0.133062472238891 -0.0535930852124845 -0.00920025856428898 -0.0406512444904541 0.0223134686215859 0.0249591377445593
"2" 43 0.0164550620544984 -0.0220206550412936 -0.0917847154766324 -0.0396690277033403 0.0425725250125059 0.0139215067931791 -0.0189403709257769 -0.0187623021332651 0.0653047376217796 0.0587670100634476
"3" 159 0.0280471987914954 -0.0420387920481467 -0.0492389719309203 0.0718565377773336 0.0173410491592114 0.023698393189077 -0.0361355997441421 0.00798881823253946 0.0221246678825654 0.0381288516834052
"4" 275 0.120160319004557 -0.00324273120981036 -0.0149290802202684 -0.0633973015964544 0.0348979577924792 0.10272370400629 -0.0035843964848327 0.00716408920538095 0.00594521783076447 0.0188655390561577
"5" 277 -0.0588765994729713 0.0366043694554216 -0.0501620624970575 -0.0503388695669498 -0.0201693066942306 -0.0500964276341499 0.0316970217092341 0.00153706130744649 0.0222615245954129 0.0414346291963103
"6" 291 -0.105914949795292 -0.000650976978900024 -0.0609020651951337 0.0242636047156732 0.0360116987499891 -0.0905692018557704 0.000158778121545451 -0.0455247395985645 7.45182453583691e-05 0.0577855348992545
"7" 469 NA NA NA NA NA -0.042394831121472 0.0256668223893268 -0.0469245770653388 0.00976706649859874 0.0343082979526174
"8" 499 0.00196151449403771 -0.0481511568329643 0.050674501490969 0.033740069692207 0.0702491050398208 0.00135199397315747 -0.0411859082571811 0.0128180835782867 -0.0302499919739355 -0.0333444473662433
"9" 598 0.0777755045458074 -0.0288114762575278 -0.0275431279249527 -0.0422921024430492 -0.111535136662051 0.0663089714075494 -0.0251611984566589 0.032009576408148 0.00910995857886283 0.0233747091137981
"10" 600 -0.128748739286155 -0.0381479098811361 -0.101159136808766 0.00542254721305236 -0.00722831726189587 -0.110346989226012 -0.0317495303944056 -0.0214366772543097 0.00795426190285871 0.082344984005958
"11" 650 NA NA NA NA NA -0.0197310785085344 0.00449872047575777 0.0154868937053755 -0.0372203740884838 0.00508110957772548
"12" 682 NA NA NA NA NA -0.0261444934099123 0.00441860409059958 0.0186127892361046 -0.0347808544724607 0.00717828113517315
"13" 694 0.0306147250001016 -0.0049256900736444 -1.91294901731497e-05 -0.0584796886541243 -0.0189443576672357 0.0261444934099124 -0.00441860409059948 -0.0186127892361069 0.0347808544724589 -0.00717828113517339
"14" 709 NA NA NA NA NA 0.0568041831292549 0.027649076575797 -0.00828344437434237 -0.0285241073984505 -0.011324323083239
"15" 719 -0.0768118908045361 0.00410691146150106 -0.0279912994729394 -0.0298385428547573 0.0123229171289283 -0.0656518818669593 0.00403053209615129 -0.0342451622519954 0.04051156832607 0.0197764673128756
"16" 758 0.0291908953140249 0.0248862657080421 0.0648147279336742 -0.0342864005670868 0.0224074298507164 0.0251283847662506 0.0210823528797377 -0.0177558573862054 -0.0419780079112637 -0.022893063174657
"17" 767 -0.0263819135573665 0.0157260621049061 0.044168651925103 0.0496718618368964 -0.0159555866605284 -0.0224521871451843 0.0136250984738224 -0.00956208038356519 -0.00175315267021239 -0.0318199169959492
"18" 802 NA NA NA NA NA -0.0326247537638301 0.0172999669166754 -0.0179292616127137 -0.0211817944412448 -0.0436577688865282
"19" 841 -0.000450962723323014 0.0432795071645925 -0.0517957067040053 0.0110419461112478 -0.0192061437394547 -9.32708071691036e-05 0.0370100986531855 -0.0166065177892041 0.0123734494546272 0.0265418574820977
