unique position a_freq_old a_freq_final vcf_ord chrom for_relatedness keep_loci vcf_ord_final quasi_indep pca_ALL_PC1_loadings pca_ALL_PC2_loadings pca_ALL_PC3_loadings pca_PRUNED_PC1_loadings pca_PRUNED_PC2_loadings pcadapt_3.0.4_ALL_chisq pcadapt_3.0.4_ALL_log10p pcadapt_3.0.4_PRUNED_log10p OutFLANK_0.2_FST OutFLANK_0.2_He OutFLANK_0.2_ALL_log10p OutFLANK_0.2_PRUNED_log10p LFMM_ridge_0.0_ALL_log10p LFMM_lasso_0.0_ALL_log10p Spearmans_ALL_rho selCoef originGen type descrip fixed_since pa2 prop He seed simID RDAvegan_2.52_ALL_RDA1 RDAvegan_2.52_ALL_PC1 RDAvegan_2.52_ALL_PC2 RDAvegan_2.52_ALL_PC3 RDAvegan_2.52_PRUNED_RDA1 RDAvegan_2.52_PRUNED_PC1 RDAvegan_2.52_PRUNED_PC2 RDAvegan_2.52_PRUNED_PC3 sk-allel_v1.1.10_tajD sk-allel_v1.1.10_pi sk-allel_v1.1.10_thetaW sk-allel_v1.1.10_H12 sk-allel_v1.1.10_H2/H1 sk-allel_v1.1.10_ihs sk-allel_v1.1.10_nsl
10000_0.8705 10000 0.8705 0.865687303252886 371 1 FALSE TRUE 147 FALSE -0.00486817004406834 0.0149614257031058 0.0126873669444848 NA NA 5.5812552181348 0.873353630323205 0.436432096198764 0.000716380807307514 0.232545592479264 0.00757197661459967 0.00648583353172018 0.343996547389816 0.265593409213969 0.0304420395095296 NA NA NA NA NA NA NA NA 10987 10987 0.0140239161234362 0.0482471384152081 0.0628007471110845 -0.0745177728049465 NA NA NA NA 0.8907704232202169 0.0036131706369108302 0.002455200319613132 0.14946669764338386 0.6115471418465996 NA 0.20850810863910801
100161_0.0185 100161 0.0185 0.0178384050367261 3325 3 FALSE TRUE 1357 TRUE NA NA NA NA NA NA NA 0.505437107513114 0.00656471368206119 0.0350403926849434 NA NA 0.711241392133667 0.38067925620921 0.0951892550496344 NA NA NA NA NA NA NA NA 10987 10987 0.0585457657030905 0.028186128428559 0.00440296140905323 -0.0258403422427807 0.0708683129736226 -0.00587074505571704 -0.00208394593410018 0.0175205522443498 0.8907704232202169 0.003514948522509371 0.002388457009953746 0.14946669764338386 0.6115471418465996 NA 0.575744171281549
100219_0.0120 100219 0.012 0.012591815320042 3327 3 FALSE TRUE 1358 FALSE NA NA NA NA NA NA NA 0.203193479602388 0.0330615811780142 0.0248665230139755 NA NA 0.283295999944356 0.135472207143341 -0.0510971787848668 NA NA NA NA NA NA NA NA 10987 10987 -0.0237433689088352 -0.0154687172440607 -0.01323492208443 0.0539668031952933 NA NA NA NA 0.8907704232202169 0.00320389113113686 0.0021770891329666885 0.14946669764338386 0.6115471418465996 NA -0.0551217274377016
100238_0.3015 100238 0.3015 0.282266526757608 3328 3 TRUE TRUE 1359 TRUE 0.00461496089549836 -0.0167638812423273 0.0116575213261412 0.0324018409656067 -0.0120350946973308 4.76171000354915 0.721015805394645 0.903657576505398 0.0266606722545892 0.405184269259609 0.713574160995681 0.67663918371504 0.396330269761048 0.124377010933891 -0.0766156253128615 NA NA NA NA NA NA NA NA 10987 10987 -0.0487670062564864 -0.0479289123985852 -0.0547955389600586 -0.00512894547802135 -0.0590313478808738 -0.0998496916303929 0.104365311920504 -0.0452163603945981 0.8907704232202169 0.0031757868229689928 0.0021579918598704896 0.14946669764338386 0.6115471418465996 NA -1.7280431382586523
100281_0.6120 100281 0.612 0.597061909758657 3330 3 FALSE TRUE 1360 TRUE -0.00298102822417158 0.0108193300158194 -0.00974541798713494 -0.0209424612559412 0.005510708996708 2.19037178378786 0.272582934269625 0.492511333449476 0.0213024700542161 0.481157971348005 0.454816272328281 0.427431117636043 0.130791242448033 0.343578714864933 0.0411661028964834 NA NA NA NA NA NA NA NA 10987 10987 0.0230267235512604 0.0302114465491291 0.0445354407647467 0.00567393406911978 0.0278733232333772 0.0530594085171778 -0.0819593484931146 0.00110602350483161 0.8907704232202169 0.00311566005007285 0.0021171348711293957 0.14946669764338386 0.6115471418465996 NA -0.8946686366729568
10041_0.1025 10041 0.1025 0.107030430220357 373 1 FALSE TRUE 148 TRUE 0.000238664787263638 -0.00214997100191268 -0.00231464662005279 0.000755544128092343 -0.00568436531770684 0.0838122397716117 0.0027418324132404 0.0324865662269264 0.0201644233220133 0.191149834454404 0.379141662839362 0.354957597873864 0.0613947694635774 0.365313015929913 0.0429419440072533 NA NA NA NA NA NA NA NA 10987 10987 0.0283404865038485 -0.0018616808593437 -0.0245180134283659 0.0261367127518631 0.0343055119915096 -0.0311228715216776 0.064075430201545 0.0690768579906219 0.8907704232202169 0.002784920752449732 0.001892392861732583 0.14946669764338386 0.6115471418465996 NA 0.2408707904718142
100437_0.0800 100437 0.08 0.0771248688352571 3336 3 FALSE TRUE 1361 TRUE -0.00654511802587061 -0.0133512936384593 0.00281841511251148 0.0193258205784158 0.00932589515901257 6.30525067857688 1.0102494942165 0.597666578051312 0.0144027935012556 0.142353246884803 0.190862560731511 0.176002335563617 0.932940701706896 1.26663606428094 -0.130037958197621 NA NA NA NA NA NA NA NA 10987 10987 -0.0858312784144869 0.0601086892250405 -0.0158528719964145 -0.017727327561686 -0.103896803271001 0.0183549749755422 -0.0623278834647744 -0.00148742248394225 1.1948818666238497 0.0024459778890378757 0.0015134909352782964 0.0917096174999367 0.8105986181363515 NA -0.7134038832417737
100635_0.4245 100635 0.4245 0.432843651626443 3338 3 FALSE TRUE 1362 TRUE 0.00106022969935564 -0.00527706608838795 0.0015340855605559 0.0086628258887497 0.0099726432807805 0.276552568719052 0.0157534929773271 0.159054947011511 0.0201399756777867 0.490980049746259 0.388749169718828 0.36414522917722 0.334029620852961 0.802803219013838 -0.0582257896564765 NA NA NA NA NA NA NA NA 10987 10987 -0.0386203429558797 -0.011282964486936 -0.00376060264097212 -0.0112766570050957 -0.0467490435709075 0.023105258065295 6.62243386106575e-05 0.0666971814471511 1.1948818666238497 0.0023846283890947228 0.00147552987583293 0.0917096174999367 0.8105986181363515 NA -0.44493567721019844
10066_0.0635 10066 0.0635 0.0661070304302204 374 1 TRUE TRUE 149 FALSE 0.00290767631918284 -0.00968414434638718 -0.0189711693553982 NA NA 4.52226522678154 0.67713417619519 0.182678670033629 0.0123511085966026 0.123473781915836 0.17021207235195 0.15654945977246 0.232598261173863 0.026483921859961 -0.0440499453726774 NA NA NA NA NA NA NA NA 10987 10987 -0.0179443026115812 -0.0287141686951743 -0.0479980325024256 0.0702263242659763 NA NA NA NA 1.1948818666238497 0.0023614516552914267 0.001461188872720083 0.0917096174999367 0.8105986181363515 NA -1.3790340834931616
100667_0.0045 100667 0.0045 0 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA -1.13917 10995 m2 QTL NA 0 0 0 10987 10987 NA NA NA NA NA NA NA NA 1.6227232732877386 0.0028299551900786398 0.001557032101425543 0.08844054617384325 0.8010048708084178 NA -0.7328421619482104
