position	baypass_2.1_ALL_BF_pheno	baypass_2.1_ALL_BF_env	baypass_2.1_ALL_XTX	baypass_2.1_PRUNED_BF_pheno	baypass_2.1_PRUNED_BF_env	baypass_2.1_PRUNED_XTX	baypass_2.1_PRUNED_eBPis_env	baypass_2.1_PRUNED_eBPis_pheno	baypass_2.1_ALL_eBPis_env	baypass_2.1_ALL_eBPis_pheno
36	-1.164469066	-1.164079507	32.16188959	-1.133330934	-1.132893033	31.66241019	0.02763434	0.02844888	0.02541679	0.02633057
122	-1.03286771	-1.032988887	33.31818468	-1.074099073	-1.073559762	32.38053674	0.17662483	0.17678837	0.15062635	0.15051289
128	-1.125447552	-1.125587527	35.02092995	-1.145471292	-1.144945391	32.39981601	0.01113184	0.01144217	0.04127055	0.04082884
131	-1.522111434	-1.520382398	35.09616961	-1.486123419	-1.484122672	34.69238492	0.44224581	0.44132687	0.42036984	0.41870691
225	-1.285575433	-1.287514567	39.19283287	-1.403862934	-1.404626523	39.57737385	0.19387324	0.19563439	0.16587543	0.16738339
258	-1.224763023	-1.224130257	40.91825114	-1.163581121	-1.163381431	39.72961497	0.04459546	0.04301613	0.01751071	0.01571276
286	-1.025193304	-1.027404889	43.35252733	-1.237347869	-1.236965094	44.07620363	0.02039206	0.02159826	0.05005329	0.04897490
324	-1.257271669	-1.256325638	44.13243001	-1.254986636	-1.254784695	43.05775506	0.00112612	0.00024340	0.06244673	0.06130859
379	-1.736942306	-1.736495333	41.93897744	-1.619359917	-1.618601102	42.96139692	0.00108295	0.00156233	0.00183185	0.00214177
419	-1.232969282	-1.232423521	44.71842578	-1.227081807	-1.226131067	43.65769461	0.09396240	0.09200054	0.00734735	0.00604003
460	-1.185928565	-1.186053605	43.46820996	-1.242221058	-1.241771139	42.46745115	0.05073556	0.04925106	0.07131264	0.07010448
462	-1.299852394	-1.299062394	42.09197163	-1.304192569	-1.304022764	42.70138106	0.02491052	0.02371915	0.05907507	0.05812455
531	-1.292543416	-1.292210742	36.27504579	-1.217100629	-1.216796118	35.02179237	0.02733208	0.02616840	0.00983872	0.01112036
532	-1.236423714	-1.235299748	45.87822863	-1.226632071	-1.225678173	44.88307545	0.12095100	0.11950515	0.14641029	0.14516532
823	-1.612980394	-1.612329449	45.22879338	-1.474081872	-1.473131603	44.85553722	0.26198108	0.26172305	0.26494411	0.26501517
888	-1.224858674	-1.225208386	37.19358928	-1.231589778	-1.231465408	34.82207385	0.16647762	0.16768940	0.10363384	0.10471325
905	-1.187650478	-1.187037185	32.41665459	-1.14333814	-1.142967979	31.91685514	0.01948372	0.01729101	0.00355599	0.00160392
946	-1.155647857	-1.155873027	40.41199255	-1.194258289	-1.194051078	38.85242807	0.01811984	0.01715160	0.00635357	0.00705290
979	-1.263146686	-1.264955015	36.23654358	-1.250450301	-1.251942012	35.32710949	0.19796940	0.20039646	0.15157210	0.15381815
1021	-1.188405914	-1.186040677	34.55931168	-1.105910226	-1.103224124	34.17733204	0.20451281	0.20206256	0.16070217	0.15791337
1025	-1.18830631	-1.188862295	36.11544798	-1.188845946	-1.186491534	34.88434181	0.28221819	0.27809051	0.15268954	0.14975175
