position	baypass_2.1_ALL_BF_pheno	baypass_2.1_ALL_BF_env	baypass_2.1_ALL_XTX	baypass_2.1_PRUNED_BF_pheno	baypass_2.1_PRUNED_BF_env	baypass_2.1_PRUNED_XTX	baypass_2.1_PRUNED_eBPis_env	baypass_2.1_PRUNED_eBPis_pheno	baypass_2.1_ALL_eBPis_env	baypass_2.1_ALL_eBPis_pheno
15	-1.612633105	-1.613386483	35.60812253	-1.745445323	-1.746071305	34.18972339	0.04641423	0.04879990	0.04559830	0.04725506
18	-0.668103248	-0.667179319	38.73001376	-0.898155593	-0.896979899	38.64633027	0.54998939	0.54812242	0.65394803	0.65268918
67	-1.070128975	-1.073068215	36.15940426	-0.953035689	-0.955977322	37.33815789	0.55948313	0.56370111	0.64150084	0.64528775
71	-1.119280803	-1.115745514	41.69444234	-1.129582962	-1.127956142	40.78766610	0.14340948	0.13946644	0.16260350	0.15869510
183	-1.652901931	-1.651816729	40.03242377	-1.545922937	-1.543726539	38.70372264	0.16396734	0.16186872	0.14908691	0.14697644
219	-1.538932632	-1.53839275	33.36644015	-1.476871174	-1.477446991	32.22059712	0.02742619	0.02516934	0.07286269	0.07073653
238	-1.265689622	-1.268282876	41.16325175	-1.172103269	-1.174655006	39.86853102	0.22625444	0.22968159	0.12231925	0.12513444
294	-1.570129603	-1.570427836	37.76809730	-1.400211932	-1.39961702	38.19865172	0.57423955	0.57398874	0.32357119	0.32346198
343	-1.051441332	-1.046115815	43.22275465	-1.108622886	-1.106962044	41.10580980	0.06201528	0.05702931	0.16842164	0.16328289
385	-1.266450555	-1.266533452	34.62901578	-1.107562831	-1.108854674	34.44229523	0.39230274	0.39173715	0.39394283	0.39346725
618	-1.623260283	-1.623268655	35.60458292	-1.491185627	-1.49016554	35.62670511	0.33683333	0.33652921	0.22380193	0.22371211
701	-1.566511004	-1.566447378	38.24118187	-1.594692237	-1.595400787	38.00848151	0.19741044	0.19821759	0.12767464	0.12806681
939	-1.346077	-1.346404883	38.75864950	-1.274536229	-1.274831559	37.88584071	0.53347081	0.53339235	0.47161985	0.47098189
975	-1.193442435	-1.193093727	37.11193862	-1.173895858	-1.173626914	36.55383613	0.10599690	0.10484847	0.09961666	0.09876319
995	-1.047222954	-1.048024708	38.51783350	-1.11684098	-1.116633284	36.97747255	0.20126276	0.20175139	0.13863544	0.13920390
1006	-1.186387461	-1.186943465	39.12307100	-1.131970144	-1.13274585	38.19229790	0.17091847	0.17141382	0.09810499	0.09854784
1014	-1.195823743	-1.19591335	38.67038819	-1.12276	-1.123052592	37.96387685	0.18605419	0.18632592	0.15855393	0.15889638
1128	-1.317014366	-1.319877356	37.56502182	-1.302790819	-1.304457417	37.93173118	0.20958250	0.21261748	0.14916761	0.15083202
1183	-1.150878846	-1.150702612	38.02639686	-1.040907068	-1.040344787	37.99188453	0.29273574	0.29113772	0.15543259	0.15415373
1214	-1.444432801	-1.444734932	39.77275515	-1.279644918	-1.278705272	39.44751988	0.43777332	0.43797003	0.52980099	0.52968896
1240	-1.278107076	-1.278411094	35.11874126	-1.26201747	-1.262584981	34.72426060	0.07070484	0.07145509	0.08614718	0.08694768
1241	-1.69296074	-1.694660712	40.16169471	-1.618700151	-1.618292795	39.24323352	0.24099443	0.24126254	0.22582564	0.22670841
1263	-1.240776597	-1.240924619	36.35325080	-1.2937068	-1.294113451	35.93130253	0.29062068	0.29023611	0.31603959	0.31584194
1589	-1.162360933	-1.163183769	36.18690673	-1.186025752	-1.187378877	35.96521446	0.41705317	0.41989348	0.22175915	0.22380645
1619	-1.567550903	-1.567889968	40.35156631	-1.43492719	-1.433429494	39.34517318	0.38452185	0.38473688	0.32000211	0.32035913
1641	-1.672330316	-1.672674086	38.76761090	-1.574786743	-1.575691622	40.33308594	0.12369786	0.12340240	0.14788020	0.14783486
1760	-1.244294876	-1.243954246	34.41840642	-1.181204779	-1.180188673	35.12002844	0.16810337	0.16697446	0.18350060	0.18267844
1984	-1.092989491	-1.093133743	40.22461071	-1.275105989	-1.275333231	38.58816389	0.30707751	0.30710239	0.23164373	0.23151572
2118	-1.526458248	-1.526946344	36.63369962	-1.25061422	-1.250641882	35.80313547	0.43096570	0.43217322	0.22163699	0.22234962
2175	-0.373910186	-0.376507622	41.79948321	-0.601621269	-0.600666042	40.16662387	1.06709929	1.06778931	0.76988849	0.77134300
2340	-1.497739376	-1.497706403	40.04472158	-1.593802708	-1.594117891	39.31922246	0.02262312	0.02148881	0.08438303	0.08337104
2351	-0.833469582	-0.83163501	36.06683826	-0.998339094	-0.990880334	36.38296439	0.59650912	0.59394921	0.61730980	0.61451780
2421	-1.4553431	-1.452614933	37.82886039	-1.000219413	-0.988018747	38.74730632	0.41310637	0.40955378	0.36730442	0.36495527
2528	-1.119895412	-1.11999981	39.35909608	-1.191197636	-1.190832273	39.17119529	0.27172945	0.27092145	0.36251929	0.36161786
2538	-1.158744135	-1.158085759	38.87772461	-1.146214873	-1.145607271	38.11782800	0.21092115	0.21015217	0.21714661	0.21635425
2546	-1.71361047	-1.714942055	36.64282258	-1.671666745	-1.672015914	37.20218637	0.09602147	0.09739880	0.08070916	0.08206323
2792	-1.758334599	-1.759240414	37.99954906	-1.628693776	-1.629905744	38.07429504	0.09409786	0.09461435	0.03671903	0.03712410
2867	-1.51114473	-1.511019187	44.26066782	-1.471355715	-1.468931324	43.22060875	0.35867215	0.35539309	0.13897075	0.13684084
2932	-0.701955678	-0.70170633	41.55922299	-0.148274685	-0.147869654	41.39957417	0.85269740	0.85197968	0.82410323	0.82271133
3144	-1.361641811	-1.362999453	37.84384031	-1.468045281	-1.47086297	38.10214696	0.39870045	0.40136267	0.46636201	0.46865695
3177	-1.012433937	-1.016465383	41.13259327	-0.941132988	-0.945213303	41.37047212	0.39898362	0.40328796	0.30213326	0.30549965
3226	-1.357609603	-1.357970945	41.19587002	-1.25155101	-1.251512362	41.36586781	0.03072466	0.03130507	0.04657381	0.04705873
3476	-1.066580036	-1.066739586	43.13745945	-1.040260365	-1.040617638	41.63716418	0.18497466	0.18574347	0.18336654	0.18420659
3506	-1.49620973	-1.496680964	33.51744986	-1.417166823	-1.417648985	33.10874266	0.03035986	0.03133713	0.01832363	0.01934529
3739	-1.167826148	-1.168451775	42.03282393	-1.182717822	-1.183622617	41.13834086	0.11161262	0.11346532	0.08120626	0.08287943
3803	-1.374213353	-1.373477527	38.93756867	-1.290862674	-1.288858846	36.82911242	0.51119083	0.50928012	0.39054126	0.38873448
3922	-1.073294904	-1.070617797	38.37068071	-0.774455649	-0.776231787	38.75455145	0.81221198	0.80979656	0.63333770	0.63183385
3930	-1.264738404	-1.26481384	40.27225650	-1.304562633	-1.305078127	39.35167942	0.01104831	0.01109352	0.01236184	0.01298219
4022	-1.751981197	-1.752172299	35.09824682	-1.697885283	-1.698450995	35.72064305	0.05561148	0.05643007	0.03126221	0.03202129
4068	-1.508223084	-1.506488818	36.71231812	-1.459473209	-1.456706596	36.75582939	0.36845576	0.36491404	0.24893975	0.24566021
4138	-0.35721837	-0.354070189	43.80488697	-0.442639439	-0.436382181	42.59885844	1.51698468	1.51561046	1.20751049	1.20655872
4285	-1.492805594	-1.494374192	39.89349437	-1.493164644	-1.495372174	40.04196068	0.29848380	0.30082252	0.21773539	0.21970177
4294	-1.577605611	-1.578881512	36.36454106	-1.525071035	-1.52538728	35.63806704	0.05755778	0.05961711	0.12664492	0.12859903
4299	-1.103445727	-1.10458186	37.51337268	-1.071040251	-1.072511442	37.24810115	0.31486895	0.31740587	0.08904726	0.09025946
4317	-1.54916282	-1.550341776	35.75457018	-1.552685262	-1.553144645	36.64687348	0.08412302	0.08636826	0.09999302	0.10198689
4337	-1.290547005	-1.290816033	37.42932754	-1.308291865	-1.308315258	36.85283326	0.06130177	0.05983844	0.01086074	0.01179371
4460	-1.686820377	-1.686526384	37.50840751	-1.660554822	-1.660913354	37.42093692	0.05775030	0.05499678	0.02126934	0.01908533
4486	-1.272147319	-1.276378982	40.03413764	-1.54621559	-1.546888929	39.52730334	0.41446740	0.41388572	0.38468372	0.38495068
4523	-1.392269313	-1.39590828	37.41620726	-1.443022471	-1.446248056	36.82382268	0.28752517	0.29281852	0.30305164	0.30793494
4541	-0.85267195	-0.851643317	42.55592666	-1.083673786	-1.082212821	42.16010312	0.77271601	0.77152297	0.42500609	0.42357542
4612	-1.730810827	-1.73066512	39.03015194	-1.428019241	-1.425971966	38.36243695	0.25658514	0.25700011	0.31427854	0.31380739
4727	-1.615290842	-1.616320584	37.37504450	-1.561859397	-1.564469576	36.17623825	0.13029428	0.13154416	0.12416050	0.12524742
4817	-0.964044746	-0.967312624	44.79353454	-0.973263195	-0.975955658	45.19691583	0.42724499	0.43156307	0.25213012	0.25487362
4826	-0.457581243	-0.461924563	45.54223666	-0.387014925	-0.390534435	44.21042263	1.20880314	1.21361547	0.70727574	0.71113171
4956	-1.286200772	-1.285900024	35.87184405	-1.156874689	-1.15756655	35.67867225	0.37543790	0.37493565	0.29236493	0.29247357
5009	-1.603181972	-1.60219823	38.18563212	-1.624070499	-1.619536686	38.26174400	0.34723357	0.34394847	0.29938095	0.29577202
5107	-0.600949805	-0.601616518	51.50682497	-0.30856655	-0.312730344	50.57026027	1.04531920	1.04586868	0.82509778	0.82627369
5137	-1.096877774	-1.097987541	36.37543452	-0.962849915	-0.962637078	34.50649149	0.70979093	0.71091131	0.48563371	0.48638323
5146	-1.654661759	-1.652381832	38.03112483	-1.696038236	-1.694382251	38.23999308	0.23575800	0.23277637	0.19022392	0.18825426
5241	-0.638718784	-0.636461836	42.34044340	-0.49968029	-0.498092981	41.27953569	1.16984574	1.16718088	0.69619119	0.69473865
5290	-1.846963105	-1.847461417	38.11640021	-1.707094807	-1.707956657	37.10371219	0.30222960	0.30231719	0.23292059	0.23321159
5361	-1.020551174	-1.02147169	39.84998328	-1.016333168	-1.017167833	39.58161019	0.47320941	0.47408015	0.37410712	0.37471970
5561	-1.465756551	-1.465276135	34.72143890	-1.54407662	-1.544308591	34.47223647	0.20875819	0.20903373	0.25148894	0.25117559
5779	-1.128749426	-1.128889574	40.23159989	-1.015676849	-1.015874363	39.39292112	0.10387665	0.10415117	0.10543145	0.10542002
5856	-1.370817864	-1.371718002	41.72313697	-1.311656832	-1.31243674	39.23303736	0.02174389	0.02454660	0.06068406	0.06332323
5978	-1.12842437	-1.129646389	39.55107838	-1.066312506	-1.068006874	38.81387268	0.15692384	0.15947731	0.14864872	0.15084855
6024	-1.030631429	-1.034655065	35.74577161	-0.989141824	-0.992888693	34.99349708	0.40637173	0.41151101	0.37745284	0.38191018
6077	-1.276362619	-1.277293245	35.55175136	-1.199387186	-1.200820466	33.95445823	0.29389361	0.29622738	0.18074698	0.18259490
6115	-0.93567482	-0.937233423	39.03622768	-0.952722839	-0.955476662	36.90948054	0.44146040	0.44586709	0.25939251	0.26202817
6246	-0.951157355	-0.954826295	39.16053567	-0.924882818	-0.927495985	37.90801163	0.50239598	0.50609981	0.24977406	0.25193234
6250	-0.947660521	-0.950178777	39.27443871	-0.93607725	-0.938604246	37.56593362	0.36059433	0.36325567	0.38839188	0.39049113
6253	-1.137804145	-1.138898936	38.63043277	-1.166917288	-1.168591346	38.04134559	0.24025831	0.24265233	0.17586548	0.17737338
6261	-1.118607038	-1.119205491	37.72608065	-1.097619295	-1.099505229	36.67703000	0.18107444	0.18259670	0.26061323	0.26241121
6285	-1.16408675	-1.16299537	43.80473569	-1.2199213	-1.219393182	42.71686588	0.00567780	0.00356960	0.07602469	0.07439920
6290	-1.341096513	-1.340500457	39.70106558	-1.357164693	-1.357658422	38.50623747	0.05565075	0.05584046	0.08135701	0.08187538
6456	-1.58963072	-1.590455064	34.57451849	-1.594722644	-1.596128206	35.32834260	0.21346912	0.21495978	0.10849644	0.10919508
6686	-1.16606011	-1.166447471	41.21715096	-1.178275817	-1.178394202	39.24625063	0.01390717	0.01264393	0.02283211	0.02376064
6833	-1.542496279	-1.542592246	46.56583355	-1.55624988	-1.55530499	46.25574996	0.01292398	0.01046348	0.04375901	0.04154643
7106	-1.379554338	-1.379466548	37.46464606	-1.377714018	-1.378150006	37.45504372	0.14927794	0.14988513	0.09611831	0.09666339
7284	-1.096235826	-1.096869002	37.12294302	-1.104534167	-1.105637544	36.53545909	0.26114034	0.26247678	0.22094428	0.22231749
7286	-1.895707147	-1.897183415	37.67009303	-1.598101267	-1.601738525	37.69617465	0.27412169	0.27712131	0.15094045	0.15261152
7332	-1.415053648	-1.415457448	36.24404027	-1.526843994	-1.527895836	36.01187895	0.43909929	0.44024175	0.24516107	0.24547970
7368	-0.802977981	-0.805827262	38.54334786	-0.855103975	-0.855056832	37.00317800	0.63092885	0.63297052	0.46753434	0.46980163
