position	baypass_2.1_ALL_BF_pheno	baypass_2.1_ALL_BF_env	baypass_2.1_ALL_XTX	baypass_2.1_PRUNED_BF_pheno	baypass_2.1_PRUNED_BF_env	baypass_2.1_PRUNED_XTX	baypass_2.1_PRUNED_eBPis_env	baypass_2.1_PRUNED_eBPis_pheno	baypass_2.1_ALL_eBPis_env	baypass_2.1_ALL_eBPis_pheno
12	-1.526459651	-1.526152862	48.70348393	-1.59344849	-1.593263779	48.56207777	0.04129860	0.04013055	0.01094008	0.00986698
23	-0.532510358	-0.527751783	36.40490053	-0.726135366	-0.725779602	36.40704126	1.03613554	1.03004669	0.93721408	0.93093061
40	-0.868251679	-0.867138927	38.35251723	-0.791548882	-0.789460647	39.14703722	0.85167857	0.84987133	0.69752870	0.69652137
123	-1.273545862	-1.276213678	39.20988050	-1.267090007	-1.270284581	38.53136691	0.66595343	0.66920742	0.68459104	0.68810118
128	-1.295565985	-1.296720798	35.85504072	-1.274891373	-1.278425416	36.11632004	0.51002685	0.51525315	0.35745613	0.36151755
314	-1.307923922	-1.307667159	36.85186335	-1.222722521	-1.22208369	36.54066906	0.19592657	0.19501107	0.20035100	0.19933331
346	-1.189759689	-1.188225979	37.60973969	-1.319621922	-1.319857946	36.77754030	0.12479834	0.12344600	0.11491297	0.11426811
430	-1.267233966	-1.271378294	37.90380461	-1.294935727	-1.298811821	38.22019114	0.51729714	0.52127649	0.41744505	0.42144748
522	-1.550326045	-1.548441167	37.92962686	-1.499625918	-1.498310456	37.32356736	0.38490690	0.38296649	0.40029218	0.39775728
723	-1.005840679	-1.004981763	45.25891239	-0.942540697	-0.941402497	42.13321110	0.50907813	0.50572171	0.34835188	0.34557311
831	-1.174275688	-1.173160403	35.47298841	-1.1624087	-1.162367863	33.68597324	0.14776842	0.14501531	0.12214671	0.11903297
883	-1.204232026	-1.20662002	36.88489780	-1.055582275	-1.059469386	36.64400224	0.45712214	0.46248008	0.24097102	0.24500508
1147	-0.785935142	-0.789222452	39.34008924	-0.904466347	-0.907143422	39.64108050	0.43966295	0.44284549	0.39376148	0.39670730
1149	-0.989066677	-0.991088577	38.78234935	-0.943146017	-0.94476985	38.79806216	0.43032078	0.43339621	0.29616130	0.29945760
1160	-1.013768842	-1.01508141	38.86817064	-1.073825027	-1.074299328	37.81722745	0.02245853	0.02417227	0.04932855	0.05148073
1334	-1.643890734	-1.644050693	34.42960781	-1.545948421	-1.546381663	34.99311142	0.31607595	0.31640018	0.26903340	0.26940069
1344	-1.120594417	-1.123061658	39.87342587	-1.233910012	-1.236236997	39.04097467	0.69892731	0.70434746	0.69364610	0.69623512
1359	-1.096234279	-1.09534308	33.67127521	-0.923966951	-0.921272687	33.80075299	0.79591478	0.79409774	0.76073215	0.76034114
1360	-0.1884694	-0.189394664	35.46962277	-0.163023351	-0.164153851	35.32319661	1.43020078	1.42796819	1.29213647	1.29244923
1373	-1.181887287	-1.181393591	35.71170497	-1.110330018	-1.110726512	35.35535820	0.48973104	0.49006941	0.21781577	0.21801121
1642	0.507873048	0.493639266	38.63861352	0.193074905	0.188703365	38.07204173	2.14478662	2.14520789	1.45722749	1.46172734
1875	-1.184113801	-1.182532997	40.47361844	-1.149874163	-1.14766208	39.77437462	0.68028674	0.67850253	0.39780524	0.39728371
1918	-1.463803913	-1.464106395	39.85749719	-1.442183956	-1.443406967	39.26335235	0.29222252	0.29491653	0.29902950	0.30157245
2013	-1.203323393	-1.202182842	35.64889897	-1.224075963	-1.223316536	35.07323580	0.16738577	0.16486284	0.13415574	0.13186130
2036	-1.177694291	-1.177367906	37.32213334	-1.155526865	-1.154644027	35.85816833	0.17753990	0.17516743	0.08057957	0.07862874
2105	-1.35707151	-1.355493955	37.74503903	-1.42917953	-1.42937429	39.92318477	0.15213081	0.15242139	0.15253867	0.15252989
2112	-1.514829754	-1.514495152	38.86531253	-1.414768403	-1.414225622	39.73998069	0.12713191	0.12679864	0.08778769	0.08779757
2234	-1.553892117	-1.553743689	36.21839734	-1.540126135	-1.540136694	35.53683113	0.01677256	0.01810047	0.02728542	0.02714740
2245	-1.146879418	-1.146420657	39.34554144	-1.144892049	-1.145097743	39.24452451	0.01244271	0.01139379	0.02942533	0.03076476
2251	-1.186464552	-1.186708389	40.21126608	-1.131886655	-1.131601952	40.13373846	0.00444034	0.00587437	0.00722675	0.00648581
2304	-1.065156031	-1.064279509	38.22718836	-1.113100041	-1.113257801	36.32323734	0.13899626	0.14000220	0.16078996	0.16110800
2403	-1.493783634	-1.493078621	37.71787964	-1.62195137	-1.622316851	36.12630318	0.04004986	0.04137402	0.09180095	0.09371503
2532	-1.687710431	-1.688085803	42.46078498	-1.667007712	-1.666930357	43.42886114	0.13643854	0.13637149	0.08332990	0.08375132
2608	-1.190151639	-1.189752801	36.17751987	-1.176710344	-1.175719405	36.44437888	0.05799637	0.05621633	0.02778960	0.02590198
2621	-1.25330601	-1.253000755	37.93227422	-1.249533855	-1.249642764	37.45492198	0.03301699	0.03534951	0.03074967	0.03261695
2655	-1.384128778	-1.383560831	35.09465994	-1.374310607	-1.373765425	35.00319617	0.24855646	0.24777599	0.23089621	0.23064056
2784	-1.692606263	-1.692163684	39.16523240	-1.672024804	-1.672160094	40.27628656	0.13332899	0.13441362	0.10952319	0.10964672
2798	-1.580258435	-1.582329065	39.10967122	-1.507709362	-1.510358297	40.20999409	0.29454288	0.29746860	0.23257081	0.23614706
